city_city,frequency
Bhavnagar,1
Lhokseumawe,1
Dhaka,1
Bijapur,1
Pyongyang,1
San Lorenzo,1
Isesaki,1
Ibirit,1
Ezeiza,1
Sincelejo,1
La Paz,1
Hunuco,1
Beira,1
Johannesburg,1
Dongying,1
Hiroshima,1
Tabuk,1
Surakarta,1
Sharja,1
Bratislava,1
Cayenne,1
Songkhla,1
Tarlac,1
Toulon,1
York,1
Tegal,1
Taizz,1
Ahmadnagar,1
Pereira,1
Sultanbeyli,1
Tsaotun,1
Belm,1
So Bernardo do Campo,1
Okara,1
Cabuyao,1
Vila Velha,1
Purnea (Purnia),1
Halle/Saale,1
Luzinia,1
Mandaluyong,1
Celaya,1
Fuzhou,1
Ivanovo,1
Fengshan,1
Manchester,1
Ezhou,1
Brockton,1
Tartu,1
Kamarhati,1
Udine,1
Sunnyvale,1
Chatsworth,1
Mogiljov,1
Kermanshah,1
Nha Trang,1
Korolev,1
Papeete,1
Jos Azueta,1
Allende,1
Goinia,1
Kamakura,1
Daxian,1
Sambhal,1
Akron,1
Kamyin,1
Jining,1
Banjul,1
Lengshuijiang,1
Aurora,1
Pak Kret,1
Ciudad del Este,1
Valle de Santiago,1
Crdoba,1
Haldia,1
Ambattur,1
Acua,1
Qomsheh,1
Binzhou,1
Baicheng,1
Gulbarga,1
Kanazawa,1
Jurez,1
Chandrapur,1
Shanwei,1
Braslia,1
Sawhaj,1
Sucre,1
Mardan,1
Huejutla de Reyes,1
Cuman,1
Koriyama,1
Cape Coral,1
Czestochowa,1
Sungai Petani,1
Kitwe,1
Chungho,1
Monclova,1
A Corua (La Corua),1
Anpolis,1
Otsu,1
Citrus Heights,1
Daugavpils,1
Junan,1
Jaffna,1
Sorocaba,1
Santiago de los Caballeros,1
Liaocheng,1
Ktahya,1
Hohhot,1
Fuyu,1
Paarl,1
Zeleznogorsk,1
Aden,1
Vaduz,1
Donostia-San Sebastin,1
Shimoga,1
Emeishan,1
Tarsus,1
Zalantun,1
Aparecida de Goinia,1
Rio Claro,1
Mandi Bahauddin,1
Plock,1
Zhoushan,1
Santa F,1
Stockport,1
Denizli,1
Cavite,1
Konotop,1
Po,1
Batman,1
Szkesfehrvr,1
Bhopal,1
Siegen,1
Alessandria,1
So Leopoldo,1
Adana,1
Wroclaw,1
Hagonoy,1
Kragujevac,1
Guadalajara,1
Valle de la Pascua,1
El Fuerte,1
Iligan,1
Avellaneda,1
Novi Sad,1
Gandhinagar,1
Cam Ranh,1
Yaound,1
Naju,1
Malm,1
Kamjanets-Podilskyi,1
Valparai,1
Tallahassee,1
Richmond Hill,1
Mit Ghamr,1
Garland,1
Clarksville,1
Nanyang,1
Kimchon,1
Stara Zagora,1
Urawa,1
al-Manama,1
Teboksary,1
Pjatigorsk,1
Nabereznyje Telny,1
Pune,1
Matsue,1
Funafuti,1
Southend-on-Sea,1
Trshavn,1
San Juan Bautista Tuxtepec,1
Balurghat,1
Naala-Porto,1
Fontana,1
Tsuyama,1
Olomouc,1
Jelets,1
Vancouver,1
Datong,1
Atinsk,1
Mosul,1
Rancagua,1
Shivapuri,1
Siliguri (Shiliguri),1
Saarbrcken,1
Nantou,1
Tandil,1
Jodhpur,1
Laredo,1
Jaipur,1
Santa Rosa,1
Botosani,1
Haining,1
Amersfoort,1
Dhule (Dhulia),1
Memphis,1
Saint Louis,1
Dallas,1
Witten,1
Kurgan,1
Livorno,1
Kursk,1
Uluberia,1
Vijayawada,1
Lethbridge,1
Tongliao,1
Kuching,1
Newcastle,1
Uruapan,1
Santo Andr,1
Simferopol,1
Cianjur,1
Iwakuni,1
Cuautla,1
Rustenburg,1
Patras,1
Izumisano,1
Barcelona,1
Xinxiang,1
Suihua,1
Nakhon Sawan,1
Jakarta,1
Sullana,1
Ranchi,1
Monywa,1
Santiago de Compostela,1
Shikarpur,1
Klerksdorp,1
Shimonoseki,1
Varanasi (Benares),1
Zanzibar,1
Sumqayit,1
Sumy,1
Gaziantep,1
Ashqelon,1
Halifax,1
Graz,1
Pudukkottai,1
Nam Dinh,1
Bat Yam,1
Valencia,1
Brindisi,1
Zaria,1
Lausanne,1
Sanya,1
Coatzacoalcos,1
Probolinggo,1
Elista,1
Kabul,1
Dos Quebradas,1
Tanshui,1
Vilnius,1
Hino,1
Juazeiro do Norte,1
Duisburg,1
Effon-Alaiye,1
Dzerzinsk,1
Sirjan,1
Okinawa,1
Maring,1
Xiangfan,1
Linz,1
Guaruj,1
Sokoto,1
Hubli-Dharwad,1
Kisumu,1
Ikerre,1
Rockford,1
Akishima,1
Qinhuangdao,1
Palghat (Palakkad),1
Vinh,1
Addis Abeba,1
Miraj,1
Mahajanga,1
Rajkot,1
Yuzhou,1
Mysore,1
Kirovo-Tepetsk,1
Emmen,1
Kaliningrad,1
Bergamo,1
Tambaram,1
Mannheim,1
Masqat,1
Erlangen,1
Torren,1
Balaiha,1
Callao,1
Kolpino,1
Basel,1
Nukualofa,1
Escobar,1
Tanauan,1
Salala,1
Higashiosaka,1
Ciparay,1
Syktyvkar,1
ostka,1
Kakamigahara,1
Patiala,1
Sivas,1
Pangkal Pinang,1
La Romana,1
Hami,1
Firozabad,1
Ziguinchor,1
Brest,1
Yerevan,1
San Miguel de Tucumn,1
Okayama,1
Nyeri,1
Buenaventura,1
Lapu-Lapu,1
Fukuyama,1
Matamoros,1
Tanza,1
Hidalgo,1
Birgunj,1
Mwene-Ditu,1
Coacalco de Berriozbal,1
Parbhani,1
Mexicali,1
Jedda,1
Blumenau,1
al-Qatif,1
Baha Blanca,1
Myingyan,1
Loja,1
Purwakarta,1
Bag,1
Tabriz,1
Faaa,1
Liepaja,1
Yuncheng,1
Soshanguve,1
Tianjin,1
Coquimbo,1
Lancaster,1
Kimberley,1
Rizhao,1
Kumbakonam,1
Kuwana,1
Arak,1
Talavera,1
Novoterkassk,1
Dundee,1
Ruse,1
Kansas City,1
Southampton,1
Nagareyama,1
Ashgabat,1
Le Mans,1
Niznekamsk,1
Lima,1
Kalisz,1
Bhimavaram,1
Pavlodar,1
Lipetsk,1
Baybay,1
Jaroslavl,1
Hsichuh,1
La Plata,1
Xiangtan,1
Laohekou,1
Shubra al-Khayma,1
Joliet,1
Onomichi,1
Ife,1
Charlotte Amalie,1
Nagaon,1
Kingstown,1
Munger (Monghyr),1
Phnom Penh,1
El Alto,1
Ciomas,1
Yangor,1
Pachuca de Soto,1
Nuuk,1
Esfahan,1
Sterling Heights,1
Beni-Mellal,1
Hoshiarpur,1
Bellevue,1
Huaian,1
Imus,1
Warren,1
Pingxiang,1
Greensboro,1
Ocumare del Tuy,1
Southport,1
Pemalang,1
