rental_id,rental_rate,rental_duration,rental_date,return_date,payment_count,total_payment_amount,amount_difference,first_payment_date
14696,4.99,5,2005-08-21,2005-08-25,1,4.99,0.00,2007-03-21
7541,4.99,3,2005-07-27,2005-07-29,1,4.99,0.00,2007-04-27
3133,2.99,7,2005-06-20,2005-06-26,1,2.99,0.00,2007-02-20
8624,2.99,7,2005-07-29,2005-08-02,1,2.99,0.00,2007-04-29
3311,0.99,3,2005-06-21,2005-06-22,1,0.99,0.00,2007-02-21
15137,2.99,7,2005-08-22,2005-08-26,1,2.99,0.00,2007-03-22
4959,0.99,3,2005-07-08,2005-07-10,1,0.99,0.00,2007-04-08
5511,4.99,7,2005-07-10,2005-07-12,1,4.99,0.00,2007-04-09
6723,4.99,4,2005-07-12,2005-07-14,1,4.99,0.00,2007-04-12
14290,4.99,7,2005-08-21,2005-08-28,1,4.99,0.00,2007-03-21
10064,2.99,7,2005-07-31,2005-08-06,1,2.99,0.00,2007-04-30
12019,0.99,6,2005-08-17,2005-08-21,1,0.99,0.00,2007-03-17
13253,4.99,7,2005-08-19,2005-08-20,1,4.99,0.00,2007-03-19
11436,0.99,5,2005-08-02,2005-08-05,1,0.99,0.00,2007-03-02
5049,0.99,4,2005-07-09,2005-07-11,1,0.99,0.00,2007-04-09
7105,4.99,5,2005-07-27,2005-07-28,1,4.99,0.00,2007-04-27
15984,2.99,7,2005-08-23,2005-08-27,1,2.99,0.00,2007-03-23
1238,2.99,6,2005-06-15,2005-06-20,1,2.99,0.00,2007-02-15
4082,2.99,7,2005-07-07,2005-07-12,1,2.99,0.00,2007-04-07
8400,4.99,5,2005-07-29,2005-07-31,1,4.99,0.00,2007-04-29
8943,0.99,5,2005-07-30,2005-08-02,1,0.99,0.00,2007-04-30
9386,0.99,7,2005-07-30,2005-08-05,1,0.99,0.00,2007-04-30
4151,0.99,6,2005-07-07,2005-07-11,1,0.99,0.00,2007-04-07
5100,2.99,4,2005-07-09,2005-07-10,1,2.99,0.00,2007-04-09
8936,2.99,3,2005-07-30,2005-08-01,1,2.99,0.00,2007-04-30
9334,2.99,7,2005-07-30,2005-08-03,1,2.99,0.00,2007-04-30
7982,4.99,5,2005-07-28,2005-07-29,1,4.99,0.00,2007-04-28
9940,0.99,6,2005-07-31,2005-08-06,1,0.99,0.00,2007-04-30
14958,2.99,7,2005-08-22,2005-08-28,1,2.99,0.00,2007-03-22
4574,4.99,6,2005-07-08,2005-07-08,1,4.99,0.00,2007-04-08
13645,0.99,6,2005-08-20,2005-08-23,1,0.99,0.00,2007-03-20
15479,4.99,7,2005-08-23,2005-08-29,1,4.99,0.00,2007-03-23
12389,4.99,6,2005-08-18,2005-08-22,1,4.99,0.00,2007-03-18
14115,0.99,7,2005-08-21,2005-08-24,1,0.99,0.00,2007-03-20
12756,2.99,7,2005-08-18,2005-08-21,1,2.99,0.00,2007-03-18
1579,0.99,6,2005-06-16,2005-06-21,1,0.99,0.00,2007-02-16
13175,4.99,7,2005-08-19,2005-08-20,1,4.99,0.00,2007-03-19
8213,2.99,6,2005-07-28,2005-07-31,1,2.99,0.00,2007-04-28
9041,0.99,4,2005-07-30,2005-08-01,1,0.99,0.00,2007-04-30
7565,2.99,7,2005-07-27,2005-07-30,1,2.99,0.00,2007-04-27
6188,2.99,6,2005-07-11,2005-07-15,1,2.99,0.00,2007-04-11
3549,4.99,5,2005-07-06,2005-07-06,1,4.99,0.00,2007-04-06
11468,0.99,6,2005-08-02,2005-08-05,1,0.99,0.00,2007-03-02
11126,0.99,3,2005-08-02,2005-08-04,1,0.99,0.00,2007-03-02
2428,0.99,7,2005-06-18,2005-06-19,1,0.99,0.00,2007-02-18
13088,0.99,3,2005-08-19,2005-08-21,1,0.99,0.00,2007-03-19
14328,2.99,4,2005-08-21,2005-08-25,1,2.99,0.00,2007-03-21
3406,2.99,5,2005-06-21,2005-06-23,1,2.99,0.00,2007-02-21
14653,0.99,3,2005-08-21,2005-08-24,1,0.99,0.00,2007-03-21
6070,0.99,3,2005-07-11,2005-07-13,1,0.99,0.00,2007-04-11
1429,2.99,3,2005-06-15,2005-06-18,1,2.99,0.00,2007-02-15
10326,4.99,6,2005-08-01,2005-08-02,1,4.99,0.00,2007-03-01
13562,2.99,6,2005-08-20,2005-08-25,1,2.99,0.00,2007-03-20
14724,4.99,3,2005-08-21,2005-08-23,1,4.99,0.00,2007-03-21
15932,4.99,6,2005-08-23,2005-08-24,1,4.99,0.00,2007-03-23
2227,4.99,3,2005-06-18,2005-06-19,1,4.99,0.00,2007-02-18
4607,0.99,4,2005-07-08,2005-07-11,1,0.99,0.00,2007-04-08
12824,4.99,3,2005-08-19,2005-08-22,1,4.99,0.00,2007-03-18
12311,0.99,4,2005-08-18,2005-08-21,1,0.99,0.00,2007-03-18
2865,0.99,3,2005-06-20,2005-06-21,1,0.99,0.00,2007-02-19
8350,4.99,6,2005-07-29,2005-07-31,1,4.99,0.00,2007-04-29
13417,0.99,6,2005-08-19,2005-08-23,1,0.99,0.00,2007-03-19
6028,4.99,7,2005-07-11,2005-07-14,1,4.99,0.00,2007-04-11
9584,4.99,7,2005-07-31,2005-08-01,1,4.99,0.00,2007-04-30
13690,4.99,6,2005-08-20,2005-08-23,1,4.99,0.00,2007-03-20
9142,0.99,6,2005-07-30,2005-08-04,1,0.99,0.00,2007-04-30
6726,0.99,7,2005-07-12,2005-07-16,1,0.99,0.00,2007-04-12
6648,0.99,7,2005-07-12,2005-07-14,1,0.99,0.00,2007-04-12
6249,0.99,5,2005-07-11,2005-07-14,1,0.99,0.00,2007-04-11
10763,2.99,7,2005-08-01,2005-08-05,1,2.99,0.00,2007-03-01
13293,4.99,7,2005-08-19,2005-08-23,1,4.99,0.00,2007-03-19
5257,0.99,6,2005-07-09,2005-07-10,1,0.99,0.00,2007-04-09
7487,4.99,3,2005-07-27,2005-07-28,1,4.99,0.00,2007-04-27
5903,2.99,3,2005-07-10,2005-07-11,1,2.99,0.00,2007-04-10
13857,2.99,5,2005-08-20,2005-08-24,1,2.99,0.00,2007-03-20
3772,2.99,4,2005-07-06,2005-07-10,1,2.99,0.00,2007-04-06
12642,4.99,7,2005-08-18,2005-08-20,1,4.99,0.00,2007-03-18
11213,4.99,4,2005-08-02,2005-08-05,1,4.99,0.00,2007-03-02
5082,4.99,7,2005-07-09,2005-07-10,1,4.99,0.00,2007-04-09
12963,2.99,6,2005-08-19,2005-08-23,1,2.99,0.00,2007-03-19
1693,4.99,7,2005-06-16,2005-06-19,1,4.99,0.00,2007-02-16
6328,2.99,7,2005-07-11,2005-07-12,1,2.99,0.00,2007-04-11
5613,2.99,6,2005-07-10,2005-07-13,1,2.99,0.00,2007-04-10
12350,4.99,5,2005-08-18,2005-08-21,1,4.99,0.00,2007-03-18
15696,0.99,4,2005-08-23,2005-08-25,1,0.99,0.00,2007-03-23
14498,4.99,3,2005-08-21,2005-08-23,1,4.99,0.00,2007-03-21
10030,2.99,6,2005-07-31,2005-08-03,1,2.99,0.00,2007-04-30
6503,0.99,3,2005-07-12,2005-07-15,1,0.99,0.00,2007-04-12
9984,2.99,4,2005-07-31,2005-08-01,1,2.99,0.00,2007-04-30
8600,2.99,6,2005-07-29,2005-07-31,1,2.99,0.00,2007-04-29
6395,2.99,7,2005-07-11,2005-07-18,1,2.99,0.00,2007-04-11
1886,4.99,7,2005-06-17,2005-06-19,1,4.99,0.00,2007-02-17
5446,2.99,6,2005-07-09,2005-07-11,1,2.99,0.00,2007-04-09
9480,0.99,7,2005-07-30,2005-08-04,1,0.99,0.00,2007-04-30
6743,0.99,6,2005-07-12,2005-07-13,1,0.99,0.00,2007-04-12
14117,4.99,3,2005-08-21,2005-08-22,1,4.99,0.00,2007-03-20
8238,0.99,6,2005-07-29,2005-08-02,1,0.99,0.00,2007-04-28
3543,0.99,4,2005-07-06,2005-07-07,1,0.99,0.00,2007-04-06
15012,4.99,7,2005-08-22,2005-08-28,1,4.99,0.00,2007-03-22
7316,2.99,7,2005-07-27,2005-07-28,1,2.99,0.00,2007-04-27
1941,2.99,4,2005-06-17,2005-06-20,1,2.99,0.00,2007-02-17
2278,0.99,6,2005-06-18,2005-06-22,1,0.99,0.00,2007-02-18
4335,4.99,5,2005-07-07,2005-07-11,1,4.99,0.00,2007-04-07
1159,4.99,7,2005-06-14,2005-06-17,1,4.99,0.00,2007-02-14
10480,4.99,3,2005-08-01,2005-08-03,1,4.99,0.00,2007-03-01
7739,0.99,5,2005-07-28,2005-07-30,1,0.99,0.00,2007-04-28
3751,0.99,7,2005-07-06,2005-07-10,1,0.99,0.00,2007-04-06
9631,2.99,6,2005-07-31,2005-08-02,1,2.99,0.00,2007-04-30
5536,0.99,5,2005-07-10,2005-07-13,1,0.99,0.00,2007-04-10
11273,0.99,7,2005-08-02,2005-08-07,1,0.99,0.00,2007-03-02
14522,4.99,6,2005-08-21,2005-08-25,1,4.99,0.00,2007-03-21
11284,2.99,3,2005-08-02,2005-08-04,1,2.99,0.00,2007-03-02
14229,4.99,6,2005-08-21,2005-08-26,1,4.99,0.00,2007-03-21
5179,2.99,5,2005-07-09,2005-07-11,1,2.99,0.00,2007-04-09
13942,2.99,7,2005-08-20,2005-08-25,1,2.99,0.00,2007-03-20
1305,2.99,5,2005-06-15,2005-06-19,1,2.99,0.00,2007-02-15
3192,0.99,7,2005-06-20,2005-06-24,1,0.99,0.00,2007-02-20
8832,4.99,7,2005-07-29,2005-08-04,1,4.99,0.00,2007-04-29
7852,2.99,4,2005-07-28,2005-07-30,1,2.99,0.00,2007-04-28
13633,2.99,7,2005-08-20,2005-08-24,1,2.99,0.00,2007-03-20
1293,4.99,5,2005-06-15,2005-06-18,1,4.99,0.00,2007-02-15
11130,2.99,7,2005-08-02,2005-08-09,1,2.99,0.00,2007-03-02
3766,2.99,7,2005-07-06,2005-07-07,1,2.99,0.00,2007-04-06
14299,0.99,4,2005-08-21,2005-08-24,1,0.99,0.00,2007-03-21
7670,0.99,4,2005-07-28,2005-07-29,1,0.99,0.00,2007-04-28
5413,4.99,5,2005-07-09,2005-07-10,1,4.99,0.00,2007-04-09
3796,0.99,4,2005-07-06,2005-07-07,1,0.99,0.00,2007-04-06
5596,0.99,3,2005-07-10,2005-07-11,1,0.99,0.00,2007-04-10
14854,2.99,4,2005-08-22,2005-08-23,1,2.99,0.00,2007-03-22
6597,0.99,7,2005-07-12,2005-07-16,1,0.99,0.00,2007-04-12
8387,4.99,5,2005-07-29,2005-07-31,1,4.99,0.00,2007-04-29
6441,0.99,4,2005-07-12,2005-07-14,1,0.99,0.00,2007-04-11
3669,2.99,7,2005-07-06,2005-07-10,1,2.99,0.00,2007-04-06
12876,2.99,3,2005-08-19,2005-08-20,1,2.99,0.00,2007-03-19
8203,0.99,3,2005-07-28,2005-07-31,1,0.99,0.00,2007-04-28
15078,2.99,7,2005-08-22,2005-08-25,1,2.99,0.00,2007-03-22
11043,0.99,6,2005-08-02,2005-08-06,1,0.99,0.00,2007-03-02
1607,2.99,5,2005-06-16,2005-06-20,1,2.99,0.00,2007-02-16
15225,0.99,5,2005-08-22,2005-08-24,1,0.99,0.00,2007-03-22
15935,2.99,7,2005-08-23,2005-08-25,1,2.99,0.00,2007-03-23
5191,0.99,3,2005-07-09,2005-07-10,1,0.99,0.00,2007-04-09
3929,0.99,6,2005-07-06,2005-07-12,1,0.99,0.00,2007-04-06
9014,2.99,3,2005-07-30,2005-08-01,1,2.99,0.00,2007-04-30
3823,2.99,3,2005-07-06,2005-07-09,1,2.99,0.00,2007-04-06
11526,4.99,4,2005-08-17,2005-08-18,1,4.99,0.00,2007-03-16
15786,0.99,6,2005-08-23,2005-08-27,1,0.99,0.00,2007-03-23
11580,2.99,5,2005-08-17,2005-08-21,1,2.99,0.00,2007-03-17
15772,4.99,3,2005-08-23,2005-08-26,1,4.99,0.00,2007-03-23
9297,4.99,6,2005-07-30,2005-08-03,1,4.99,0.00,2007-04-30
10673,0.99,5,2005-08-01,2005-08-03,1,0.99,0.00,2007-03-01
2075,4.99,4,2005-06-17,2005-06-19,1,4.99,0.00,2007-02-17
8974,0.99,7,2005-07-30,2005-08-04,1,0.99,0.00,2007-04-30
13996,4.99,4,2005-08-20,2005-08-22,1,4.99,0.00,2007-03-20
1673,2.99,7,2005-06-16,2005-06-18,1,2.99,0.00,2007-02-16
13967,4.99,6,2005-08-20,2005-08-26,1,4.99,0.00,2007-03-20
2215,2.99,5,2005-06-18,2005-06-22,1,2.99,0.00,2007-02-18
2403,2.99,6,2005-06-18,2005-06-23,1,2.99,0.00,2007-02-18
9969,2.99,7,2005-07-31,2005-08-05,1,2.99,0.00,2007-04-30
11091,2.99,7,2005-08-02,2005-08-07,1,2.99,0.00,2007-03-02
7599,2.99,3,2005-07-27,2005-07-28,1,2.99,0.00,2007-04-27
2592,0.99,6,2005-06-19,2005-06-21,1,0.99,0.00,2007-02-19
3191,0.99,6,2005-06-20,2005-06-25,1,0.99,0.00,2007-02-20
10329,0.99,3,2005-08-01,2005-08-03,1,0.99,0.00,2007-03-01
9471,4.99,7,2005-07-30,2005-08-04,1,4.99,0.00,2007-04-30
10508,0.99,7,2005-08-01,2005-08-02,1,0.99,0.00,2007-03-01
8220,2.99,4,2005-07-28,2005-07-31,1,2.99,0.00,2007-04-28
3849,2.99,7,2005-07-06,2005-07-12,1,2.99,0.00,2007-04-06
5451,4.99,3,2005-07-09,2005-07-11,1,4.99,0.00,2007-04-09
9112,4.99,7,2005-07-30,2005-08-04,1,4.99,0.00,2007-04-30
3941,4.99,7,2005-07-06,2005-07-09,1,4.99,0.00,2007-04-06
13597,0.99,5,2005-08-20,2005-08-24,1,0.99,0.00,2007-03-20
11308,0.99,7,2005-08-02,2005-08-05,1,0.99,0.00,2007-03-02
4123,0.99,7,2005-07-07,2005-07-10,1,0.99,0.00,2007-04-07
13851,0.99,5,2005-08-20,2005-08-22,1,0.99,0.00,2007-03-20
3940,2.99,4,2005-07-06,2005-07-07,1,2.99,0.00,2007-04-06
11211,0.99,4,2005-08-02,2005-08-03,1,0.99,0.00,2007-03-02
14916,0.99,5,2005-08-22,2005-08-24,1,0.99,0.00,2007-03-22
9138,2.99,7,2005-07-30,2005-07-31,1,2.99,0.00,2007-04-30
11459,0.99,3,2005-08-02,2005-08-04,1,0.99,0.00,2007-03-02
4369,4.99,6,2005-07-07,2005-07-13,1,4.99,0.00,2007-04-07
5437,2.99,6,2005-07-09,2005-07-15,1,2.99,0.00,2007-04-09
9822,2.99,7,2005-07-31,2005-08-05,1,2.99,0.00,2007-04-30
13530,0.99,7,2005-08-20,2005-08-23,1,0.99,0.00,2007-03-20
6645,2.99,5,2005-07-12,2005-07-17,1,2.99,0.00,2007-04-12
1965,0.99,6,2005-06-17,2005-06-18,1,0.99,0.00,2007-02-17
5577,4.99,5,2005-07-10,2005-07-14,1,4.99,0.00,2007-04-10
11548,0.99,6,2005-08-17,2005-08-22,1,0.99,0.00,2007-03-16
7722,4.99,5,2005-07-28,2005-07-30,1,4.99,0.00,2007-04-28
6036,2.99,7,2005-07-11,2005-07-15,1,2.99,0.00,2007-04-11
7556,4.99,7,2005-07-27,2005-07-28,1,4.99,0.00,2007-04-27
11873,0.99,6,2005-08-17,2005-08-18,1,0.99,0.00,2007-03-17
5846,2.99,7,2005-07-10,2005-07-12,1,2.99,0.00,2007-04-10
1654,2.99,7,2005-06-16,2005-06-20,1,2.99,0.00,2007-02-16
7254,2.99,6,2005-07-27,2005-07-28,1,2.99,0.00,2007-04-27
4588,2.99,7,2005-07-08,2005-07-10,1,2.99,0.00,2007-04-08
12943,2.99,3,2005-08-19,2005-08-22,1,2.99,0.00,2007-03-19
12504,4.99,6,2005-08-18,2005-08-24,1,4.99,0.00,2007-03-18
13172,0.99,5,2005-08-19,2005-08-20,1,0.99,0.00,2007-03-19
8304,4.99,4,2005-07-29,2005-08-02,1,4.99,0.00,2007-04-29
8680,4.99,5,2005-07-29,2005-07-31,1,4.99,0.00,2007-04-29
15276,2.99,3,2005-08-22,2005-08-23,1,2.99,0.00,2007-03-22
3701,4.99,5,2005-07-06,2005-07-09,1,4.99,0.00,2007-04-06
15240,2.99,3,2005-08-22,2005-08-23,1,2.99,0.00,2007-03-22
12914,4.99,7,2005-08-19,2005-08-23,1,4.99,0.00,2007-03-19
13310,0.99,6,2005-08-19,2005-08-23,1,0.99,0.00,2007-03-19
4113,4.99,5,2005-07-07,2005-07-12,1,4.99,0.00,2007-04-07
8928,2.99,6,2005-07-30,2005-08-05,1,2.99,0.00,2007-04-30
9234,2.99,7,2005-07-30,2005-08-02,1,2.99,0.00,2007-04-30
1640,4.99,4,2005-06-16,2005-06-17,1,4.99,0.00,2007-02-16
15530,4.99,6,2005-08-23,2005-08-28,1,4.99,0.00,2007-03-23
10813,2.99,5,2005-08-01,2005-08-03,1,2.99,0.00,2007-03-01
3315,4.99,4,2005-06-21,2005-06-24,1,4.99,0.00,2007-02-21
1732,0.99,3,2005-06-16,2005-06-18,1,0.99,0.00,2007-02-16
3059,4.99,7,2005-06-20,2005-06-21,1,4.99,0.00,2007-02-20
4118,2.99,7,2005-07-07,2005-07-08,1,2.99,0.00,2007-04-07
2670,4.99,3,2005-06-19,2005-06-21,1,4.99,0.00,2007-02-19
8912,0.99,6,2005-07-30,2005-08-02,1,0.99,0.00,2007-04-29
14009,4.99,3,2005-08-20,2005-08-21,1,4.99,0.00,2007-03-20
1224,0.99,3,2005-06-15,2005-06-17,1,0.99,0.00,2007-02-15
7532,0.99,5,2005-07-27,2005-07-30,1,0.99,0.00,2007-04-27
13433,0.99,4,2005-08-19,2005-08-22,1,0.99,0.00,2007-03-19
13733,0.99,4,2005-08-20,2005-08-21,1,0.99,0.00,2007-03-20
4938,0.99,6,2005-07-08,2005-07-14,1,0.99,0.00,2007-04-08
3084,2.99,5,2005-06-20,2005-06-23,1,2.99,0.00,2007-02-20
7804,2.99,3,2005-07-28,2005-07-30,1,2.99,0.00,2007-04-28
7675,4.99,5,2005-07-28,2005-07-31,1,4.99,0.00,2007-04-28
10078,2.99,4,2005-07-31,2005-08-04,1,2.99,0.00,2007-04-30
12888,4.99,7,2005-08-19,2005-08-24,1,4.99,0.00,2007-03-19
11193,4.99,7,2005-08-02,2005-08-04,1,4.99,0.00,2007-03-02
15624,4.99,7,2005-08-23,2005-08-29,1,4.99,0.00,2007-03-23
11592,2.99,6,2005-08-17,2005-08-19,1,2.99,0.00,2007-03-17
9981,0.99,4,2005-07-31,2005-08-01,1,0.99,0.00,2007-04-30
5667,0.99,7,2005-07-10,2005-07-15,1,0.99,0.00,2007-04-10
11811,2.99,6,2005-08-17,2005-08-18,1,2.99,0.00,2007-03-17
7625,0.99,6,2005-07-28,2005-08-02,1,0.99,0.00,2007-04-27
8106,4.99,4,2005-07-28,2005-07-30,1,4.99,0.00,2007-04-28
13299,2.99,6,2005-08-19,2005-08-22,1,2.99,0.00,2007-03-19
11842,4.99,4,2005-08-17,2005-08-20,1,4.99,0.00,2007-03-17
7558,0.99,6,2005-07-27,2005-07-30,1,0.99,0.00,2007-04-27
5535,4.99,6,2005-07-10,2005-07-12,1,4.99,0.00,2007-04-10
1526,4.99,7,2005-06-16,2005-06-19,1,4.99,0.00,2007-02-15
5459,0.99,3,2005-07-09,2005-07-12,1,0.99,0.00,2007-04-09
3106,4.99,4,2005-06-20,2005-06-24,1,4.99,0.00,2007-02-20
4994,2.99,7,2005-07-09,2005-07-09,1,2.99,0.00,2007-04-08
1274,2.99,6,2005-06-15,2005-06-20,1,2.99,0.00,2007-02-15
12500,4.99,6,2005-08-18,2005-08-19,1,4.99,0.00,2007-03-18
2822,0.99,7,2005-06-19,2005-06-23,1,0.99,0.00,2007-02-19
6181,4.99,7,2005-07-11,2005-07-15,1,4.99,0.00,2007-04-11
14518,0.99,5,2005-08-21,2005-08-24,1,0.99,0.00,2007-03-21
8935,0.99,6,2005-07-30,2005-08-02,1,0.99,0.00,2007-04-30
2342,2.99,5,2005-06-18,2005-06-20,1,2.99,0.00,2007-02-18
2761,2.99,5,2005-06-19,2005-06-20,1,2.99,0.00,2007-02-19
7082,2.99,6,2005-07-27,2005-07-30,1,2.99,0.00,2007-04-27
5137,0.99,3,2005-07-09,2005-07-12,1,0.99,0.00,2007-04-09
9935,4.99,7,2005-07-31,2005-08-05,1,4.99,0.00,2007-04-30
7343,0.99,5,2005-07-27,2005-07-30,1,0.99,0.00,2007-04-27
