rental_id,rental_rate,rental_duration,rental_date,return_date,due_date,days_late,payment_count,total_payment_amount,amount_due,amount_difference,first_payment_date
4689,2.99,6,2005-07-08,2005-07-16,2005-07-14,2,1,4.99,4.99,0.00,2007-04-08
8548,0.99,3,2005-07-29,2005-08-04,2005-08-01,3,1,3.99,3.99,0.00,2007-04-29
9185,2.99,4,2005-07-30,2005-08-06,2005-08-03,3,1,5.99,5.99,0.00,2007-04-30
11194,0.99,3,2005-08-02,2005-08-10,2005-08-05,5,1,5.99,5.99,0.00,2007-03-02
1942,2.99,6,2005-06-17,2005-06-25,2005-06-23,2,1,4.99,4.99,0.00,2007-02-17
15072,0.99,7,2005-08-22,2005-08-30,2005-08-29,1,1,1.99,1.99,0.00,2007-03-22
13697,0.99,6,2005-08-20,2005-08-29,2005-08-26,3,1,3.99,3.99,0.00,2007-03-20
3755,4.99,6,2005-07-06,2005-07-13,2005-07-12,1,1,5.99,5.99,0.00,2007-04-06
6084,4.99,5,2005-07-11,2005-07-19,2005-07-16,3,1,7.99,7.99,0.00,2007-04-11
14849,0.99,4,2005-08-22,2005-08-28,2005-08-26,2,1,2.99,2.99,0.00,2007-03-22
12464,4.99,7,2005-08-18,2005-08-27,2005-08-25,2,1,6.99,6.99,0.00,2007-03-18
1613,2.99,6,2005-06-16,2005-06-24,2005-06-22,2,1,4.99,4.99,0.00,2007-02-16
12165,2.99,3,2005-08-18,2005-08-27,2005-08-21,6,1,8.99,8.99,0.00,2007-03-17
11359,0.99,4,2005-08-02,2005-08-10,2005-08-06,4,1,4.99,4.99,0.00,2007-03-02
11026,4.99,5,2005-08-02,2005-08-07,2005-08-07,0,1,4.99,4.99,0.00,2007-03-02
4199,4.99,3,2005-07-07,2005-07-11,2005-07-10,1,1,5.99,5.99,0.00,2007-04-07
13344,2.99,5,2005-08-19,2005-08-25,2005-08-24,1,1,3.99,3.99,0.00,2007-03-19
12686,4.99,4,2005-08-18,2005-08-26,2005-08-22,4,1,8.99,8.99,0.00,2007-03-18
4893,2.99,5,2005-07-08,2005-07-15,2005-07-13,2,1,4.99,4.99,0.00,2007-04-08
4967,2.99,6,2005-07-08,2005-07-15,2005-07-14,1,1,3.99,3.99,0.00,2007-04-08
3671,0.99,3,2005-07-06,2005-07-15,2005-07-09,6,1,6.99,6.99,0.00,2007-04-06
8009,4.99,4,2005-07-28,2005-08-04,2005-08-01,3,1,7.99,7.99,0.00,2007-04-28
14872,4.99,3,2005-08-22,2005-08-29,2005-08-25,4,1,8.99,8.99,0.00,2007-03-22
11152,0.99,6,2005-08-02,2005-08-11,2005-08-08,3,1,3.99,3.99,0.00,2007-03-02
15508,4.99,3,2005-08-23,2005-08-29,2005-08-26,3,1,7.99,7.99,0.00,2007-03-23
12505,4.99,4,2005-08-18,2005-08-23,2005-08-22,1,1,5.99,5.99,0.00,2007-03-18
3035,4.99,5,2005-06-20,2005-06-26,2005-06-25,1,1,5.99,5.99,0.00,2007-02-20
8416,4.99,6,2005-07-29,2005-08-05,2005-08-04,1,1,5.99,5.99,0.00,2007-04-29
7184,0.99,5,2005-07-27,2005-08-02,2005-08-01,1,1,1.99,1.99,0.00,2007-04-27
14547,4.99,3,2005-08-21,2005-08-26,2005-08-24,2,1,6.99,6.99,0.00,2007-03-21
6086,2.99,4,2005-07-11,2005-07-16,2005-07-15,1,1,3.99,3.99,0.00,2007-04-11
12145,4.99,3,2005-08-18,2005-08-26,2005-08-21,5,1,9.99,9.99,0.00,2007-03-17
5628,2.99,6,2005-07-10,2005-07-17,2005-07-16,1,1,3.99,3.99,0.00,2007-04-10
6473,2.99,4,2005-07-12,2005-07-20,2005-07-16,4,1,6.99,6.99,0.00,2007-04-12
11265,4.99,3,2005-08-02,2005-08-11,2005-08-05,6,1,10.99,10.99,0.00,2007-03-02
10188,4.99,5,2005-08-01,2005-08-08,2005-08-06,2,1,6.99,6.99,0.00,2007-04-30
2538,4.99,5,2005-06-19,2005-06-25,2005-06-24,1,1,5.99,5.99,0.00,2007-02-19
6329,0.99,3,2005-07-11,2005-07-19,2005-07-14,5,1,5.99,5.99,0.00,2007-04-11
10574,0.99,7,2005-08-01,2005-08-10,2005-08-08,2,1,2.99,2.99,0.00,2007-03-01
9018,2.99,4,2005-07-30,2005-08-07,2005-08-03,4,1,6.99,6.99,0.00,2007-04-30
1185,4.99,7,2005-06-15,2005-06-23,2005-06-22,1,1,5.99,5.99,0.00,2007-02-14
9282,4.99,6,2005-07-30,2005-08-07,2005-08-05,2,1,6.99,6.99,0.00,2007-04-30
6818,4.99,4,2005-07-12,2005-07-21,2005-07-16,5,1,9.99,9.99,0.00,2007-04-12
7486,0.99,6,2005-07-27,2005-08-02,2005-08-02,0,1,0.99,0.99,0.00,2007-04-27
9924,2.99,4,2005-07-31,2005-08-05,2005-08-04,1,1,3.99,3.99,0.00,2007-04-30
3688,0.99,4,2005-07-06,2005-07-14,2005-07-10,4,1,4.99,4.99,0.00,2007-04-06
9626,0.99,7,2005-07-31,2005-08-08,2005-08-07,1,1,1.99,1.99,0.00,2007-04-30
8522,0.99,5,2005-07-29,2005-08-06,2005-08-03,3,1,3.99,3.99,0.00,2007-04-29
8890,4.99,4,2005-07-30,2005-08-05,2005-08-03,2,1,6.99,6.99,0.00,2007-04-29
11474,4.99,3,2005-08-02,2005-08-05,2005-08-05,0,1,4.99,4.99,0.00,2007-03-02
2486,2.99,4,2005-06-18,2005-06-22,2005-06-22,0,1,2.99,2.99,0.00,2007-02-18
11373,0.99,4,2005-08-02,2005-08-06,2005-08-06,0,1,0.99,0.99,0.00,2007-03-02
13443,4.99,6,2005-08-19,2005-08-28,2005-08-25,3,1,7.99,7.99,0.00,2007-03-19
13983,0.99,3,2005-08-20,2005-08-29,2005-08-23,6,1,6.99,6.99,0.00,2007-03-20
2477,4.99,3,2005-06-18,2005-06-22,2005-06-21,1,1,5.99,5.99,0.00,2007-02-18
3495,4.99,3,2005-07-05,2005-07-10,2005-07-08,2,1,6.99,6.99,0.00,2007-04-05
5291,0.99,4,2005-07-09,2005-07-15,2005-07-13,2,1,2.99,2.99,0.00,2007-04-09
12290,4.99,3,2005-08-18,2005-08-23,2005-08-21,2,1,6.99,6.99,0.00,2007-03-18
14291,2.99,4,2005-08-21,2005-08-26,2005-08-25,1,1,3.99,3.99,0.00,2007-03-21
8314,2.99,7,2005-07-29,2005-08-06,2005-08-05,1,1,3.99,3.99,0.00,2007-04-29
4725,2.99,5,2005-07-08,2005-07-15,2005-07-13,2,1,4.99,4.99,0.00,2007-04-08
15220,2.99,5,2005-08-22,2005-08-28,2005-08-27,1,1,3.99,3.99,0.00,2007-03-22
2126,2.99,4,2005-06-17,2005-06-27,2005-06-21,6,1,8.99,8.99,0.00,2007-02-17
6228,0.99,4,2005-07-11,2005-07-17,2005-07-15,2,1,2.99,2.99,0.00,2007-04-11
15901,0.99,3,2005-08-23,2005-08-30,2005-08-26,4,1,4.99,4.99,0.00,2007-03-23
13071,2.99,4,2005-08-19,2005-08-26,2005-08-23,3,1,5.99,5.99,0.00,2007-03-19
6575,0.99,6,2005-07-12,2005-07-18,2005-07-18,0,1,0.99,0.99,0.00,2007-04-12
2089,4.99,3,2005-06-17,2005-06-25,2005-06-20,5,1,9.99,9.99,0.00,2007-02-17
1928,2.99,4,2005-06-17,2005-06-26,2005-06-21,5,1,7.99,7.99,0.00,2007-02-17
10784,4.99,7,2005-08-01,2005-08-09,2005-08-08,1,1,5.99,5.99,0.00,2007-03-01
10410,0.99,3,2005-08-01,2005-08-10,2005-08-04,6,1,6.99,6.99,0.00,2007-03-01
4232,2.99,5,2005-07-07,2005-07-15,2005-07-12,3,1,5.99,5.99,0.00,2007-04-07
2155,0.99,7,2005-06-17,2005-06-25,2005-06-24,1,1,1.99,1.99,0.00,2007-02-17
13820,2.99,4,2005-08-20,2005-08-27,2005-08-24,3,1,5.99,5.99,0.00,2007-03-20
2413,4.99,5,2005-06-18,2005-06-27,2005-06-23,4,1,8.99,8.99,0.00,2007-02-18
15477,0.99,4,2005-08-23,2005-08-28,2005-08-27,1,1,1.99,1.99,0.00,2007-03-23
7545,2.99,5,2005-07-27,2005-08-01,2005-08-01,0,1,2.99,2.99,0.00,2007-04-27
6447,4.99,3,2005-07-12,2005-07-18,2005-07-15,3,1,7.99,7.99,0.00,2007-04-11
15075,4.99,7,2005-08-22,2005-08-30,2005-08-29,1,1,5.99,5.99,0.00,2007-03-22
6339,0.99,6,2005-07-11,2005-07-18,2005-07-17,1,1,1.99,1.99,0.00,2007-04-11
12424,4.99,5,2005-08-18,2005-08-27,2005-08-23,4,1,8.99,8.99,0.00,2007-03-18
1165,0.99,3,2005-06-14,2005-06-20,2005-06-17,3,1,3.99,3.99,0.00,2007-02-14
8720,4.99,5,2005-07-29,2005-08-04,2005-08-03,1,1,5.99,5.99,0.00,2007-04-29
6616,4.99,5,2005-07-12,2005-07-20,2005-07-17,3,1,7.99,7.99,0.00,2007-04-12
12393,0.99,3,2005-08-18,2005-08-26,2005-08-21,5,1,5.99,5.99,0.00,2007-03-18
13763,0.99,4,2005-08-20,2005-08-26,2005-08-24,2,1,2.99,2.99,0.00,2007-03-20
8044,2.99,5,2005-07-28,2005-08-02,2005-08-02,0,1,2.99,2.99,0.00,2007-04-28
7274,0.99,3,2005-07-27,2005-08-01,2005-07-30,2,1,2.99,2.99,0.00,2007-04-27
14329,4.99,4,2005-08-21,2005-08-28,2005-08-25,3,1,7.99,7.99,0.00,2007-03-21
4106,0.99,5,2005-07-07,2005-07-13,2005-07-12,1,1,1.99,1.99,0.00,2007-04-07
6233,0.99,3,2005-07-11,2005-07-15,2005-07-14,1,1,1.99,1.99,0.00,2007-04-11
11200,0.99,3,2005-08-02,2005-08-07,2005-08-05,2,1,2.99,2.99,0.00,2007-03-02
7798,2.99,3,2005-07-28,2005-07-31,2005-07-31,0,1,2.99,2.99,0.00,2007-04-28
13850,2.99,4,2005-08-20,2005-08-27,2005-08-24,3,1,5.99,5.99,0.00,2007-03-20
3876,4.99,3,2005-07-06,2005-07-14,2005-07-09,5,1,9.99,9.99,0.00,2007-04-06
10166,4.99,3,2005-07-31,2005-08-07,2005-08-03,4,1,8.99,8.99,0.00,2007-04-30
13539,4.99,5,2005-08-20,2005-08-27,2005-08-25,2,1,6.99,6.99,0.00,2007-03-20
6721,4.99,5,2005-07-12,2005-07-19,2005-07-17,2,1,6.99,6.99,0.00,2007-04-12
12221,0.99,4,2005-08-18,2005-08-27,2005-08-22,5,1,5.99,5.99,0.00,2007-03-18
8264,4.99,5,2005-07-29,2005-08-03,2005-08-03,0,1,4.99,4.99,0.00,2007-04-28
9083,4.99,7,2005-07-30,2005-08-07,2005-08-06,1,1,5.99,5.99,0.00,2007-04-30
3783,4.99,6,2005-07-06,2005-07-14,2005-07-12,2,1,6.99,6.99,0.00,2007-04-06
15218,4.99,3,2005-08-22,2005-08-30,2005-08-25,5,1,9.99,9.99,0.00,2007-03-22
15398,4.99,3,2005-08-22,2005-08-28,2005-08-25,3,1,7.99,7.99,0.00,2007-03-22
5607,0.99,3,2005-07-10,2005-07-15,2005-07-13,2,1,2.99,2.99,0.00,2007-04-10
7023,0.99,3,2005-07-27,2005-08-03,2005-07-30,4,1,4.99,4.99,0.00,2007-04-27
13846,2.99,5,2005-08-20,2005-08-28,2005-08-25,3,1,5.99,5.99,0.00,2007-03-20
14034,4.99,3,2005-08-20,2005-08-29,2005-08-23,6,1,10.99,10.99,0.00,2007-03-20
9808,0.99,6,2005-07-31,2005-08-07,2005-08-06,1,1,1.99,1.99,0.00,2007-04-30
8661,0.99,5,2005-07-29,2005-08-05,2005-08-03,2,1,2.99,2.99,0.00,2007-04-29
10133,4.99,7,2005-07-31,2005-08-08,2005-08-07,1,1,5.99,5.99,0.00,2007-04-30
7104,0.99,3,2005-07-27,2005-08-01,2005-07-30,2,1,2.99,2.99,0.00,2007-04-27
15874,2.99,3,2005-08-23,2005-08-28,2005-08-26,2,1,4.99,4.99,0.00,2007-03-23
2354,0.99,5,2005-06-18,2005-06-26,2005-06-23,3,1,3.99,3.99,0.00,2007-02-18
5801,4.99,3,2005-07-10,2005-07-14,2005-07-13,1,1,5.99,5.99,0.00,2007-04-10
9624,4.99,3,2005-07-31,2005-08-06,2005-08-03,3,1,7.99,7.99,0.00,2007-04-30
9738,0.99,5,2005-07-31,2005-08-05,2005-08-05,0,1,0.99,0.99,0.00,2007-04-30
4924,4.99,3,2005-07-08,2005-07-16,2005-07-11,5,1,9.99,9.99,0.00,2007-04-08
8815,2.99,5,2005-07-29,2005-08-03,2005-08-03,0,1,2.99,2.99,0.00,2007-04-29
10721,0.99,7,2005-08-01,2005-08-09,2005-08-08,1,1,1.99,1.99,0.00,2007-03-01
9715,0.99,3,2005-07-31,2005-08-04,2005-08-03,1,1,1.99,1.99,0.00,2007-04-30
7613,0.99,7,2005-07-28,2005-08-06,2005-08-04,2,1,2.99,2.99,0.00,2007-04-27
4231,4.99,3,2005-07-07,2005-07-13,2005-07-10,3,1,7.99,7.99,0.00,2007-04-07
7102,0.99,4,2005-07-27,2005-08-01,2005-07-31,1,1,1.99,1.99,0.00,2007-04-27
7291,2.99,3,2005-07-27,2005-08-01,2005-07-30,2,1,4.99,4.99,0.00,2007-04-27
12673,2.99,6,2005-08-18,2005-08-26,2005-08-24,2,1,4.99,4.99,0.00,2007-03-18
6844,4.99,5,2005-07-12,2005-07-18,2005-07-17,1,1,5.99,5.99,0.00,2007-04-12
11578,2.99,6,2005-08-17,2005-08-26,2005-08-23,3,1,5.99,5.99,0.00,2007-03-17
9344,0.99,3,2005-07-30,2005-08-07,2005-08-02,5,1,5.99,5.99,0.00,2007-04-30
3654,4.99,6,2005-07-06,2005-07-12,2005-07-12,0,1,4.99,4.99,0.00,2007-04-06
12205,2.99,3,2005-08-18,2005-08-27,2005-08-21,6,1,8.99,8.99,0.00,2007-03-18
15510,4.99,4,2005-08-23,2005-09-01,2005-08-27,5,1,9.99,9.99,0.00,2007-03-23
15588,2.99,6,2005-08-23,2005-08-30,2005-08-29,1,1,3.99,3.99,0.00,2007-03-23
10366,2.99,3,2005-08-01,2005-08-05,2005-08-04,1,1,3.99,3.99,0.00,2007-03-01
8803,0.99,3,2005-07-29,2005-08-06,2005-08-01,5,1,5.99,5.99,0.00,2007-04-29
2963,4.99,5,2005-06-20,2005-06-28,2005-06-25,3,1,7.99,7.99,0.00,2007-02-20
14112,0.99,4,2005-08-21,2005-08-27,2005-08-25,2,1,2.99,2.99,0.00,2007-03-20
11805,0.99,3,2005-08-17,2005-08-26,2005-08-20,6,1,6.99,6.99,0.00,2007-03-17
3019,0.99,3,2005-06-20,2005-06-27,2005-06-23,4,1,4.99,4.99,0.00,2007-02-20
15161,0.99,4,2005-08-22,2005-08-27,2005-08-26,1,1,1.99,1.99,0.00,2007-03-22
5040,4.99,5,2005-07-09,2005-07-17,2005-07-14,3,1,7.99,7.99,0.00,2007-04-09
14248,4.99,5,2005-08-21,2005-08-28,2005-08-26,2,1,6.99,6.99,0.00,2007-03-21
4107,0.99,3,2005-07-07,2005-07-14,2005-07-10,4,1,4.99,4.99,0.00,2007-04-07
9100,2.99,3,2005-07-30,2005-08-05,2005-08-02,3,1,5.99,5.99,0.00,2007-04-30
14412,4.99,3,2005-08-21,2005-08-29,2005-08-24,5,1,9.99,9.99,0.00,2007-03-21
6685,0.99,3,2005-07-12,2005-07-19,2005-07-15,4,1,4.99,4.99,0.00,2007-04-12
15033,0.99,3,2005-08-22,2005-08-28,2005-08-25,3,1,3.99,3.99,0.00,2007-03-22
13953,0.99,4,2005-08-20,2005-08-28,2005-08-24,4,1,4.99,4.99,0.00,2007-03-20
2242,0.99,3,2005-06-18,2005-06-24,2005-06-21,3,1,3.99,3.99,0.00,2007-02-18
13314,4.99,7,2005-08-19,2005-08-27,2005-08-26,1,1,5.99,5.99,0.00,2007-03-19
8976,2.99,5,2005-07-30,2005-08-04,2005-08-04,0,1,2.99,2.99,0.00,2007-04-30
7501,4.99,4,2005-07-27,2005-08-04,2005-07-31,4,1,8.99,8.99,0.00,2007-04-27
7122,2.99,4,2005-07-27,2005-08-04,2005-07-31,4,1,6.99,6.99,0.00,2007-04-27
7235,0.99,7,2005-07-27,2005-08-05,2005-08-03,2,1,2.99,2.99,0.00,2007-04-27
4363,2.99,3,2005-07-07,2005-07-13,2005-07-10,3,1,5.99,5.99,0.00,2007-04-07
9464,0.99,4,2005-07-30,2005-08-07,2005-08-03,4,1,4.99,4.99,0.00,2007-04-30
14811,0.99,4,2005-08-22,2005-08-26,2005-08-26,0,1,0.99,0.99,0.00,2007-03-21
13335,0.99,5,2005-08-19,2005-08-24,2005-08-24,0,1,0.99,0.99,0.00,2007-03-19
12748,4.99,3,2005-08-18,2005-08-24,2005-08-21,3,1,7.99,7.99,0.00,2007-03-18
3269,4.99,5,2005-06-21,2005-06-27,2005-06-26,1,1,5.99,5.99,0.00,2007-02-21
12298,0.99,7,2005-08-18,2005-08-27,2005-08-25,2,1,2.99,2.99,0.00,2007-03-18
5213,2.99,4,2005-07-09,2005-07-18,2005-07-13,5,1,7.99,7.99,0.00,2007-04-09
15635,0.99,3,2005-08-23,2005-08-27,2005-08-26,1,1,1.99,1.99,0.00,2007-03-23
13499,4.99,6,2005-08-20,2005-08-28,2005-08-26,2,1,6.99,6.99,0.00,2007-03-20
8805,2.99,6,2005-07-29,2005-08-04,2005-08-04,0,1,2.99,2.99,0.00,2007-04-29
13468,4.99,5,2005-08-20,2005-08-29,2005-08-25,4,1,8.99,8.99,0.00,2007-03-19
2305,2.99,3,2005-06-18,2005-06-24,2005-06-21,3,1,5.99,5.99,0.00,2007-02-18
4444,4.99,6,2005-07-07,2005-07-14,2005-07-13,1,1,5.99,5.99,0.00,2007-04-07
4262,4.99,5,2005-07-07,2005-07-14,2005-07-12,2,1,6.99,6.99,0.00,2007-04-07
2120,2.99,7,2005-06-17,2005-06-27,2005-06-24,3,1,5.99,5.99,0.00,2007-02-17
8745,0.99,6,2005-07-29,2005-08-06,2005-08-04,2,1,2.99,2.99,0.00,2007-04-29
2852,4.99,6,2005-06-19,2005-06-26,2005-06-25,1,1,5.99,5.99,0.00,2007-02-19
7199,2.99,4,2005-07-27,2005-08-03,2005-07-31,3,1,5.99,5.99,0.00,2007-04-27
13805,4.99,5,2005-08-20,2005-08-27,2005-08-25,2,1,6.99,6.99,0.00,2007-03-20
14305,4.99,5,2005-08-21,2005-08-27,2005-08-26,1,1,5.99,5.99,0.00,2007-03-21
11393,2.99,7,2005-08-02,2005-08-11,2005-08-09,2,1,4.99,4.99,0.00,2007-03-02
11473,2.99,3,2005-08-02,2005-08-09,2005-08-05,4,1,6.99,6.99,0.00,2007-03-02
11257,4.99,3,2005-08-02,2005-08-11,2005-08-05,6,1,10.99,10.99,0.00,2007-03-02
5872,4.99,3,2005-07-10,2005-07-19,2005-07-13,6,1,10.99,10.99,0.00,2007-04-10
9980,2.99,6,2005-07-31,2005-08-08,2005-08-06,2,1,4.99,4.99,0.00,2007-04-30
5043,0.99,3,2005-07-09,2005-07-13,2005-07-12,1,1,1.99,1.99,0.00,2007-04-09
6398,2.99,3,2005-07-11,2005-07-17,2005-07-14,3,1,5.99,5.99,0.00,2007-04-11
15739,2.99,4,2005-08-23,2005-08-29,2005-08-27,2,1,4.99,4.99,0.00,2007-03-23
14439,0.99,4,2005-08-21,2005-08-30,2005-08-25,5,1,5.99,5.99,0.00,2007-03-21
1554,4.99,3,2005-06-16,2005-06-22,2005-06-19,3,1,7.99,7.99,0.00,2007-02-16
4299,0.99,6,2005-07-07,2005-07-16,2005-07-13,3,1,3.99,3.99,0.00,2007-04-07
12942,4.99,5,2005-08-19,2005-08-27,2005-08-24,3,1,7.99,7.99,0.00,2007-03-19
13211,0.99,3,2005-08-19,2005-08-22,2005-08-22,0,1,0.99,0.99,0.00,2007-03-19
14207,2.99,6,2005-08-21,2005-08-29,2005-08-27,2,1,4.99,4.99,0.00,2007-03-21
15265,0.99,3,2005-08-22,2005-08-28,2005-08-25,3,1,3.99,3.99,0.00,2007-03-22
8902,4.99,4,2005-07-30,2005-08-05,2005-08-03,2,1,6.99,6.99,0.00,2007-04-29
9188,4.99,5,2005-07-30,2005-08-06,2005-08-04,2,1,6.99,6.99,0.00,2007-04-30
9298,0.99,5,2005-07-30,2005-08-07,2005-08-04,3,1,3.99,3.99,0.00,2007-04-30
7680,0.99,5,2005-07-28,2005-08-03,2005-08-02,1,1,1.99,1.99,0.00,2007-04-28
4347,2.99,6,2005-07-07,2005-07-14,2005-07-13,1,1,3.99,3.99,0.00,2007-04-07
14197,4.99,6,2005-08-21,2005-08-30,2005-08-27,3,1,7.99,7.99,0.00,2007-03-21
6874,4.99,6,2005-07-12,2005-07-19,2005-07-18,1,1,5.99,5.99,0.00,2007-04-12
7335,0.99,7,2005-07-27,2005-08-05,2005-08-03,2,1,2.99,2.99,0.00,2007-04-27
8919,2.99,3,2005-07-30,2005-08-08,2005-08-02,6,1,8.99,8.99,0.00,2007-04-30
13847,4.99,3,2005-08-20,2005-08-25,2005-08-23,2,1,6.99,6.99,0.00,2007-03-20
7775,0.99,5,2005-07-28,2005-08-03,2005-08-02,1,1,1.99,1.99,0.00,2007-04-28
5547,4.99,5,2005-07-10,2005-07-16,2005-07-15,1,1,5.99,5.99,0.00,2007-04-10
5780,2.99,3,2005-07-10,2005-07-14,2005-07-13,1,1,3.99,3.99,0.00,2007-04-10
6408,2.99,7,2005-07-11,2005-07-19,2005-07-18,1,1,3.99,3.99,0.00,2007-04-11
15146,0.99,4,2005-08-22,2005-08-28,2005-08-26,2,1,2.99,2.99,0.00,2007-03-22
9694,4.99,5,2005-07-31,2005-08-06,2005-08-05,1,1,5.99,5.99,0.00,2007-04-30
1789,2.99,6,2005-06-16,2005-06-23,2005-06-22,1,1,3.99,3.99,0.00,2007-02-16
15595,2.99,6,2005-08-23,2005-08-31,2005-08-29,2,1,4.99,4.99,0.00,2007-03-23
12734,0.99,6,2005-08-18,2005-08-25,2005-08-24,1,1,1.99,1.99,0.00,2007-03-18
9146,2.99,4,2005-07-30,2005-08-08,2005-08-03,5,1,7.99,7.99,0.00,2007-04-30
15286,0.99,3,2005-08-22,2005-08-29,2005-08-25,4,1,4.99,4.99,0.00,2007-03-22
10360,0.99,4,2005-08-01,2005-08-05,2005-08-05,0,1,0.99,0.99,0.00,2007-03-01
6146,2.99,5,2005-07-11,2005-07-20,2005-07-16,4,1,6.99,6.99,0.00,2007-04-11
6884,0.99,7,2005-07-12,2005-07-20,2005-07-19,1,1,1.99,1.99,0.00,2007-04-12
14977,0.99,3,2005-08-22,2005-08-30,2005-08-25,5,1,5.99,5.99,0.00,2007-03-22
12821,0.99,4,2005-08-19,2005-08-23,2005-08-23,0,1,0.99,0.99,0.00,2007-03-18
14461,4.99,6,2005-08-21,2005-08-30,2005-08-27,3,1,7.99,7.99,0.00,2007-03-21
6628,0.99,5,2005-07-12,2005-07-21,2005-07-17,4,1,4.99,4.99,0.00,2007-04-12
6896,0.99,6,2005-07-12,2005-07-20,2005-07-18,2,1,2.99,2.99,0.00,2007-04-12
3364,4.99,4,2005-06-21,2005-06-28,2005-06-25,3,1,7.99,7.99,0.00,2007-02-21
11493,2.99,5,2005-08-02,2005-08-10,2005-08-07,3,1,5.99,5.99,0.00,2007-03-02
11542,4.99,4,2005-08-17,2005-08-24,2005-08-21,3,1,7.99,7.99,0.00,2007-03-16
