address_postal_code,frequency,percentage
30348,1,0.17
78625,1,0.17
67055,1,0.17
70425,1,0.17
36229,1,0.17
29610,1,0.17
41214,1,0.17
59550,1,0.17
73431,1,0.17
52535,1,0.17
400,1,0.17
42399,1,0.17
46069,1,0.17
3,1,0.17
78543,1,0.17
99552,1,0.17
62686,1,0.17
47394,1,0.17
81508,1,0.17
25972,1,0.17
72349,1,0.17
56883,1,0.17
90845,1,0.17
45750,1,0.17
83183,1,0.17
25958,1,0.17
14400,1,0.17
81651,1,0.17
46043,1,0.17
55802,1,0.17
51309,1,0.17
1027,1,0.17
4085,1,0.17
82161,1,0.17
45403,1,0.17
90797,1,0.17
96109,1,0.17
65630,1,0.17
11892,1,0.17
16790,1,0.17
48980,1,0.17
3433,1,0.17
22813,1,0.17
28814,1,0.17
71102,1,0.17
93655,1,0.17
33505,1,0.17
93629,1,0.17
77948,1,0.17
57380,1,0.17
34021,1,0.17
20777,1,0.17
57810,1,0.17
86599,1,0.17
2834,1,0.17
47498,1,0.17
8268,1,0.17
95509,1,0.17
38145,1,0.17
57587,1,0.17
66255,1,0.17
65599,1,0.17
49348,1,0.17
17032,1,0.17
62703,1,0.17
65121,1,0.17
96203,1,0.17
9495,1,0.17
85799,1,0.17
28165,1,0.17
58852,1,0.17
21464,1,0.17
39976,1,0.17
39529,1,0.17
96709,1,0.17
14122,1,0.17
69367,1,0.17
54949,1,0.17
84804,1,0.17
18743,1,0.17
84931,1,0.17
35200,1,0.17
73644,1,0.17
77449,1,0.17
84461,1,0.17
65892,1,0.17
25220,1,0.17
99457,1,0.17
72736,1,0.17
83565,1,0.17
65387,1,0.17
52196,1,0.17
64344,1,0.17
5135,1,0.17
31483,1,0.17
17381,1,0.17
53829,1,0.17
33224,1,0.17
75149,1,0.17
87911,1,0.17
11839,1,0.17
19428,1,0.17
75933,1,0.17
71110,1,0.17
95400,1,0.17
21872,1,0.17
35653,1,0.17
1195,1,0.17
33050,1,0.17
94352,1,0.17
42420,1,0.17
78813,1,0.17
46400,1,0.17
26857,1,0.17
51369,1,0.17
48150,1,0.17
33599,1,0.17
82639,1,0.17
51540,1,0.17
35156,1,0.17
98030,1,0.17
61069,1,0.17
89422,1,0.17
86760,1,0.17
80720,1,0.17
5373,1,0.17
75860,1,0.17
59811,1,0.17
53628,1,0.17
58327,1,0.17
30065,1,0.17
13496,1,0.17
1079,1,0.17
8862,1,0.17
42123,1,0.17
58492,1,0.17
12664,1,0.17
90920,1,0.17
37636,1,0.17
70618,1,0.17
58186,1,0.17
41060,1,0.17
91590,1,0.17
97960,1,0.17
62472,1,0.17
33768,1,0.17
10925,1,0.17
83401,1,0.17
45844,1,0.17
18727,1,0.17
30861,1,0.17
49806,1,0.17
31390,1,0.17
3439,1,0.17
33535,1,0.17
43310,1,0.17
97390,1,0.17
41778,1,0.17
7431,1,0.17
30695,1,0.17
45428,1,0.17
37650,1,0.17
74750,1,0.17
49009,1,0.17
29763,1,0.17
10672,1,0.17
3313,1,0.17
10714,1,0.17
27722,1,0.17
4855,1,0.17
11044,1,0.17
88513,1,0.17
23661,1,0.17
81758,1,0.17
22853,1,0.17
22358,1,0.17
53561,1,0.17
59025,1,0.17
69504,1,0.17
60440,1,0.17
56380,1,0.17
62250,1,0.17
9827,1,0.17
32114,1,0.17
96065,1,0.17
37815,1,0.17
91299,1,0.17
69640,1,0.17
86868,1,0.17
99780,1,0.17
22650,1,0.17
90628,1,0.17
35109,1,0.17
63022,1,0.17
16119,1,0.17
33384,1,0.17
2299,1,0.17
88502,1,0.17
21615,1,0.17
11763,1,0.17
61391,1,0.17
75834,1,0.17
74428,1,0.17
22025,1,0.17
75090,1,0.17
25007,1,0.17
5379,1,0.17
97700,1,0.17
73605,1,0.17
74671,1,0.17
36603,1,0.17
38140,1,0.17
19489,1,0.17
28349,1,0.17
82580,1,0.17
73824,1,0.17
58979,1,0.17
50390,1,0.17
12905,1,0.17
31342,1,0.17
86208,1,0.17
65750,1,0.17
97056,1,0.17
86768,1,0.17
55709,1,0.17
33191,1,0.17
52625,1,0.17
52163,1,0.17
6066,1,0.17
25145,1,0.17
76901,1,0.17
37469,1,0.17
22971,1,0.17
57833,1,0.17
87660,1,0.17
98332,1,0.17
87212,1,0.17
49021,1,0.17
20207,1,0.17
25545,1,0.17
66546,1,0.17
29810,1,0.17
85769,1,0.17
8816,1,0.17
98573,1,0.17
17119,1,0.17
24321,1,0.17
45298,1,0.17
53928,1,0.17
966,1,0.17
26101,1,0.17
16266,1,0.17
23636,1,0.17
73085,1,0.17
20936,1,0.17
93026,1,0.17
89420,1,0.17
92568,1,0.17
10417,1,0.17
36170,1,0.17
83980,1,0.17
37551,1,0.17
70809,1,0.17
57828,1,0.17
16370,1,0.17
36971,1,0.17
39072,1,0.17
41545,1,0.17
94018,1,0.17
67924,1,0.17
19913,1,0.17
83536,1,0.17
37307,1,0.17
96584,1,0.17
29747,1,0.17
75543,1,0.17
99405,1,0.17
55405,1,0.17
30418,1,0.17
50598,1,0.17
53446,1,0.17
2596,1,0.17
40301,1,0.17
76022,1,0.17
58194,1,0.17
64308,1,0.17
4166,1,0.17
15414,1,0.17
88306,1,0.17
8160,1,0.17
49833,1,0.17
63104,1,0.17
30657,1,0.17
94420,1,0.17
88749,1,0.17
1921,1,0.17
57844,1,0.17
79047,1,0.17
58888,1,0.17
75474,1,0.17
841,1,0.17
39414,1,0.17
55676,1,0.17
55561,1,0.17
99865,1,0.17
89294,1,0.17
10447,1,0.17
98889,1,0.17
89668,1,0.17
30586,1,0.17
38982,1,0.17
96115,1,0.17
72192,1,0.17
98883,1,0.17
79401,1,0.17
14073,1,0.17
36490,1,0.17
87611,1,0.17
19450,1,0.17
26385,1,0.17
13377,1,0.17
94707,1,0.17
75559,1,0.17
20657,1,0.17
44816,1,0.17
13629,1,0.17
73942,1,0.17
71182,1,0.17
29444,1,0.17
89959,1,0.17
83579,1,0.17
24645,1,0.17
7664,1,0.17
81314,1,0.17
79940,1,0.17
98775,1,0.17
88307,1,0.17
50199,1,0.17
80184,1,0.17
36693,1,0.17
49757,1,0.17
34750,1,0.17
67521,1,0.17
44660,1,0.17
3656,1,0.17
21294,1,0.17
52234,1,0.17
20336,1,0.17
71986,1,0.17
53502,1,0.17
8073,1,0.17
60304,1,0.17
46044,1,0.17
6362,1,0.17
52368,1,0.17
90732,1,0.17
19065,1,0.17
81037,1,0.17
69226,1,0.17
92265,1,0.17
34418,1,0.17
36061,1,0.17
27107,1,0.17
41136,1,0.17
4854,1,0.17
61613,1,0.17
74568,1,0.17
9599,1,0.17
61117,1,0.17
37359,1,0.17
60079,1,0.17
64615,1,0.17
87687,1,0.17
22372,1,0.17
5410,1,0.17
75442,1,0.17
89502,1,0.17
64964,1,0.17
69973,1,0.17
1944,1,0.17
9223,1,0.17
53182,1,0.17
15540,1,0.17
67912,1,0.17
