customer_last_name,frequency,percentage
Spurlock,1,0.17
Yee,1,0.17
Lambert,1,0.17
Craig,1,0.17
Jacobs,1,0.17
Schmidt,1,0.17
Qualls,1,0.17
Rogers,1,0.17
Foust,1,0.17
Baugh,1,0.17
Spear,1,0.17
Gardner,1,0.17
James,1,0.17
Carter,1,0.17
Artis,1,0.17
Gilliland,1,0.17
Rose,1,0.17
Morales,1,0.17
Herrera,1,0.17
Lyman,1,0.17
Hall,1,0.17
Chestnut,1,0.17
Bunn,1,0.17
Stepp,1,0.17
Schuler,1,0.17
Malcolm,1,0.17
Royal,1,0.17
Fisher,1,0.17
Cintron,1,0.17
Fortier,1,0.17
Day,1,0.17
Bowens,1,0.17
Reid,1,0.17
Cook,1,0.17
Sanders,1,0.17
Wofford,1,0.17
Woods,1,0.17
Willis,1,0.17
Douglas,1,0.17
Hayes,1,0.17
Watts,1,0.17
Pemberton,1,0.17
Brownlee,1,0.17
Eggleston,1,0.17
Mccrary,1,0.17
Price,1,0.17
Asher,1,0.17
Butterfield,1,0.17
Vargas,1,0.17
Ralston,1,0.17
Causey,1,0.17
Ratcliff,1,0.17
Crouse,1,0.17
Andrew,1,0.17
Silverman,1,0.17
Grant,1,0.17
Slone,1,0.17
Motley,1,0.17
Bull,1,0.17
Stewart,1,0.17
Holt,1,0.17
Thomas,1,0.17
Francisco,1,0.17
Barfield,1,0.17
Vanhorn,1,0.17
Greco,1,0.17
Jordan,1,0.17
Taylor,1,0.17
Hiatt,1,0.17
Hicks,1,0.17
Shaw,1,0.17
Wood,1,0.17
Abney,1,0.17
Curley,1,0.17
Holm,1,0.17
Elrod,1,0.17
Dean,1,0.17
Moore,1,0.17
Schwarz,1,0.17
Gutierrez,1,0.17
Easter,1,0.17
Davidson,1,0.17
Olson,1,0.17
Pitt,1,0.17
Tubbs,1,0.17
Howard,1,0.17
Obrien,1,0.17
Murrell,1,0.17
Banks,1,0.17
East,1,0.17
Noland,1,0.17
Elliott,1,0.17
Havens,1,0.17
Bell,1,0.17
Holmes,1,0.17
Peterson,1,0.17
Gregory,1,0.17
Nettles,1,0.17
Isom,1,0.17
Phillips,1,0.17
Garcia,1,0.17
Currier,1,0.17
Mahon,1,0.17
Stone,1,0.17
Bales,1,0.17
Mcalister,1,0.17
Mattox,1,0.17
Miller,1,0.17
Ross,1,0.17
Kim,1,0.17
Ellis,1,0.17
Forsythe,1,0.17
Madrigal,1,0.17
Bryant,1,0.17
Vasquez,1,0.17
Blakely,1,0.17
Graham,1,0.17
Herrmann,1,0.17
Hansen,1,0.17
Curtis,1,0.17
Collins,1,0.17
Wren,1,0.17
Irby,1,0.17
Gruber,1,0.17
Larson,1,0.17
Harrison,1,0.17
Menard,1,0.17
Fernandez,1,0.17
Guajardo,1,0.17
Truong,1,0.17
Fennell,1,0.17
Crawley,1,0.17
Armstrong,1,0.17
Long,1,0.17
Barnett,1,0.17
Johnson,1,0.17
Bailey,1,0.17
Edwards,1,0.17
Roush,1,0.17
Ellington,1,0.17
Peters,1,0.17
Daniels,1,0.17
Allen,1,0.17
Kelly,1,0.17
Oliver,1,0.17
Windham,1,0.17
Sikes,1,0.17
Billingsley,1,0.17
Runyon,1,0.17
Simpkins,1,0.17
Betancourt,1,0.17
Nelson,1,0.17
Kahn,1,0.17
Morgan,1,0.17
Scroggins,1,0.17
Houle,1,0.17
Kraus,1,0.17
George,1,0.17
Cornish,1,0.17
Troutman,1,0.17
Lumpkin,1,0.17
Jenkins,1,0.17
Chapman,1,0.17
Grissom,1,0.17
Graf,1,0.17
White,1,0.17
Kelley,1,0.17
Alexander,1,0.17
Mason,1,0.17
Williams,1,0.17
Garrett,1,0.17
Stevens,1,0.17
Prewitt,1,0.17
Newsom,1,0.17
Gray,1,0.17
Adam,1,0.17
Kinder,1,0.17
Mackenzie,1,0.17
Barrett,1,0.17
Wilson,1,0.17
Watson,1,0.17
Salisbury,1,0.17
Henderson,1,0.17
Davis,1,0.17
Gunderson,1,0.17
Kenyon,1,0.17
Brown,1,0.17
Russell,1,0.17
Fuller,1,0.17
Jackson,1,0.17
Grey,1,0.17
Castro,1,0.17
Howell,1,0.17
Ford,1,0.17
Simmons,1,0.17
Power,1,0.17
Morrell,1,0.17
Thompson,1,0.17
Lawton,1,0.17
Jung,1,0.17
Aquino,1,0.17
Flores,1,0.17
Walker,1,0.17
Austin,1,0.17
Mills,1,0.17
Collazo,1,0.17
Burton,1,0.17
Robb,1,0.17
Stanfield,1,0.17
Churchill,1,0.17
Christenson,1,0.17
Hannon,1,0.17
Schofield,1,0.17
Jones,1,0.17
Caldwell,1,0.17
Douglass,1,0.17
Neal,1,0.17
Nguyen,1,0.17
Mcwhorter,1,0.17
Burleson,1,0.17
Walters,1,0.17
Hale,1,0.17
Ngo,1,0.17
Rodriquez,1,0.17
Waugh,1,0.17
Foster,1,0.17
Ely,1,0.17
Thorn,1,0.17
Vu,1,0.17
Robertson,1,0.17
Butler,1,0.17
Sherrod,1,0.17
Pinson,1,0.17
Poulin,1,0.17
Richards,1,0.17
Seal,1,0.17
Cole,1,0.17
Gilman,1,0.17
Mcduffie,1,0.17
Wade,1,0.17
Tan,1,0.17
Rhodes,1,0.17
Carr,1,0.17
Lance,1,0.17
Hart,1,0.17
Young,1,0.17
Gandy,1,0.17
Schwab,1,0.17
Fields,1,0.17
Brewer,1,0.17
Skidmore,1,0.17
Bourque,1,0.17
Renner,1,0.17
Lucas,1,0.17
Barbee,1,0.17
Lane,1,0.17
Selby,1,0.17
Allard,1,0.17
Hanson,1,0.17
Henning,1,0.17
Gooch,1,0.17
Schilling,1,0.17
Olvera,1,0.17
Westmoreland,1,0.17
Joy,1,0.17
Welch,1,0.17
Arce,1,0.17
Quintanilla,1,0.17
Owens,1,0.17
Hawks,1,0.17
Johnston,1,0.17
Baughman,1,0.17
Ferguson,1,0.17
Stclair,1,0.17
Brooks,1,0.17
Bustamante,1,0.17
West,1,0.17
Adams,1,0.17
Lawson,1,0.17
King,1,0.17
Pena,1,0.17
Hudson,1,0.17
Pearson,1,0.17
Hill,1,0.17
Lynch,1,0.17
Murphy,1,0.17
Gaffney,1,0.17
Chapa,1,0.17
Lopez,1,0.17
Nolen,1,0.17
Cooper,1,0.17
Guillen,1,0.17
Harvey,1,0.17
Evans,1,0.17
Greene,1,0.17
Simpson,1,0.17
Webb,1,0.17
Ryan,1,0.17
Marshall,1,0.17
Lawrence,1,0.17
Parker,1,0.17
Montgomery,1,0.17
Rodriguez,1,0.17
Fowler,1,0.17
Hughes,1,0.17
Robinson,1,0.17
Cruz,1,0.17
Weaver,1,0.17
Colby,1,0.17
Shelby,1,0.17
Gordon,1,0.17
Fox,1,0.17
Duggan,1,0.17
Fraley,1,0.17
Boyd,1,0.17
Terry,1,0.17
Wells,1,0.17
Waggoner,1,0.17
Gresham,1,0.17
Hoffman,1,0.17
Estep,1,0.17
Torres,1,0.17
Martino,1,0.17
Howland,1,0.17
Hopkins,1,0.17
Bradley,1,0.17
Dowd,1,0.17
Harper,1,0.17
Choate,1,0.17
Heaton,1,0.17
Arnold,1,0.17
Mccartney,1,0.17
Mccurdy,1,0.17
Mauldin,1,0.17
Grigsby,1,0.17
Payne,1,0.17
Way,1,0.17
Ramos,1,0.17
Larue,1,0.17
Cornwell,1,0.17
Jordon,1,0.17
Ashcraft,1,0.17
Gibson,1,0.17
Crawford,1,0.17
Ocampo,1,0.17
Perryman,1,0.17
Reynolds,1,0.17
Deloach,1,0.17
Powell,1,0.17
Fultz,1,0.17
Culp,1,0.17
Murray,1,0.17
Cheatham,1,0.17
Bennett,1,0.17
Gooden,1,0.17
Snyder,1,0.17
Neumann,1,0.17
Casillas,1,0.17
Isbell,1,0.17
Patterson,1,0.17
Stephens,1,0.17
Wyman,1,0.17
Gonzalez,1,0.17
Outlaw,1,0.17
Medina,1,0.17
Shelton,1,0.17
Spencer,1,0.17
Ramirez,1,0.17
Gavin,1,0.17
Mccoy,1,0.17
Porter,1,0.17
Hurtado,1,0.17
Farnsworth,1,0.17
Lee,1,0.17
Sledge,1,0.17
Swafford,1,0.17
Varney,1,0.17
Palmer,1,0.17
Gomez,1,0.17
Stanley,1,0.17
Geary,1,0.17
Noe,1,0.17
Delvalle,1,0.17
May,1,0.17
Pullen,1,0.17
Waldrop,1,0.17
Pierce,1,0.17
Fletcher,1,0.17
Fleming,1,0.17
Bishop,1,0.17
Rico,1,0.17
Wallace,1,0.17
Oglesby,1,0.17
Dunn,1,0.17
Purdy,1,0.17
Emmons,1,0.17
Nichols,1,0.17
Box,1,0.17
Chambers,1,0.17
Hawkins,1,0.17
Freeman,1,0.17
Baker,1,0.17
Morrissey,1,0.17
Sanborn,1,0.17
Barkley,1,0.17
Roberts,1,0.17
Lewis,1,0.17
Whiting,1,0.17
Thrasher,1,0.17
Jimenez,1,0.17
Carpenter,1,0.17
Rinehart,1,0.17
Pfeiffer,1,0.17
Mitchell,1,0.17
Holland,1,0.17
Martinez,1,0.17
Martin,1,0.17
Myers,1,0.17
Poindexter,1,0.17
Harder,1,0.17
Hidalgo,1,0.17
Coy,1,0.17
Meehan,1,0.17
Ebert,1,0.17
Wiles,1,0.17
Cabral,1,0.17
Matthews,1,0.17
Shelley,1,0.17
Tucker,1,0.17
Moeller,1,0.17
Herzog,1,0.17
Mark,1,0.17
Coughlin,1,0.17
Meyer,1,0.17
Sullivan,1,0.17
Cromwell,1,0.17
Kowalski,1,0.17
Ortiz,1,0.17
Riley,1,0.17
Richardson,1,0.17
Scarborough,1,0.17
Little,1,0.17
Cox,1,0.17
Wheat,1,0.17
Scott,1,0.17
Bostic,1,0.17
Burns,1,0.17
Vines,1,0.17
Williamson,1,0.17
Lovelace,1,0.17
Leone,1,0.17
Boudreau,1,0.17
Castillo,1,0.17
Satterfield,1,0.17
Sauer,1,0.17
Vest,1,0.17
Devore,1,0.17
Morrison,1,0.17
Frazier,1,0.17
Benner,1,0.17
Sutton,1,0.17
Hite,1,0.17
Talbert,1,0.17
Green,1,0.17
Meador,1,0.17
Brinson,1,0.17
Milner,1,0.17
Bone,1,0.17
Lombardi,1,0.17
Reyes,1,0.17
Ward,1,0.17
Silva,1,0.17
Seward,1,0.17
Alvarez,1,0.17
Robins,1,0.17
Soto,1,0.17
Romero,1,0.17
Mena,1,0.17
Quigley,1,0.17
Duncan,1,0.17
Carroll,1,0.17
Graves,1,0.17
Rice,1,0.17
Knott,1,0.17
Breaux,1,0.17
Hernandez,1,0.17
Horton,1,0.17
Archuleta,1,0.17
Mckinney,1,0.17
Rivera,1,0.17
Rhoads,1,0.17
Milam,1,0.17
Turner,1,0.17
Paine,1,0.17
Barnes,1,0.17
Wagner,1,0.17
Chavez,1,0.17
Gonzales,1,0.17
Turpin,1,0.17
Hunter,1,0.17
Bates,1,0.17
Reed,1,0.17
Warren,1,0.17
Brothers,1,0.17
Burk,1,0.17
