film_id,title,release_year,language_id,rental_duration,rental_rate,length,replacement_cost,rating
65,Behavior Runaway,2006,1,3,4.99,100,20.99,PG
66,Beneath Rush,2006,1,6,0.99,53,27.99,NC-17
67,Berets Agent,2006,1,5,2.99,77,24.99,PG-13
68,Betrayed Rear,2006,1,5,4.99,122,26.99,NC-17
69,Beverly Outlaw,2006,1,3,2.99,85,21.99,R
70,Bikini Borrowers,2006,1,7,4.99,142,26.99,NC-17
71,Bilko Anonymous,2006,1,3,4.99,100,25.99,PG-13
72,Bill Others,2006,1,6,2.99,93,12.99,PG
73,Bingo Talented,2006,1,5,2.99,150,22.99,PG-13
74,Birch Antitrust,2006,1,4,4.99,162,18.99,PG
75,Bird Independence,2006,1,6,4.99,163,14.99,G
76,Birdcage Casper,2006,1,4,0.99,103,23.99,NC-17
77,Birds Perdition,2006,1,5,4.99,61,15.99,G
78,Blackout Private,2006,1,7,2.99,85,12.99,PG
79,Blade Polish,2006,1,5,0.99,114,10.99,PG-13
80,Blanket Beverly,2006,1,7,2.99,148,21.99,G
81,Blindness Gun,2006,1,6,4.99,103,29.99,PG-13
82,Blood Argonauts,2006,1,3,0.99,71,13.99,G
83,Blues Instinct,2006,1,5,2.99,50,18.99,G
84,Boiled Dares,2006,1,7,4.99,102,13.99,PG
85,Bonnie Holocaust,2006,1,4,0.99,63,29.99,G
86,Boogie Amelie,2006,1,6,4.99,121,11.99,R
87,Boondock Ballroom,2006,1,7,0.99,76,14.99,NC-17
88,Born Spinal,2006,1,7,4.99,179,17.99,PG
89,Borrowers Bedazzled,2006,1,7,0.99,63,22.99,G
90,Boulevard Mob,2006,1,3,0.99,63,11.99,R
91,Bound Cheaper,2006,1,5,0.99,98,17.99,PG
92,Bowfinger Gables,2006,1,7,4.99,72,19.99,NC-17
93,Brannigan Sunrise,2006,1,4,4.99,121,27.99,PG
94,Braveheart Human,2006,1,7,2.99,176,14.99,PG-13
95,Breakfast Goldfinger,2006,1,5,4.99,123,18.99,G
96,Breaking Home,2006,1,4,2.99,169,21.99,PG-13
97,Bride Intrigue,2006,1,7,0.99,56,24.99,G
99,Bringing Hysterical,2006,1,7,2.99,136,14.99,PG
100,Brooklyn Desert,2006,1,7,4.99,161,21.99,R
101,Brotherhood Blanket,2006,1,3,0.99,73,26.99,R
102,Bubble Grosse,2006,1,4,4.99,60,20.99,R
103,Bucket Brotherhood,2006,1,7,4.99,133,27.99,PG
104,Bugsy Song,2006,1,4,2.99,119,17.99,G
105,Bull Shawshank,2006,1,6,0.99,125,21.99,NC-17
106,Bulworth Commandments,2006,1,4,2.99,61,14.99,G
107,Bunch Minds,2006,1,4,2.99,63,13.99,G
108,Butch Panther,2006,1,6,0.99,67,19.99,PG-13
109,Butterfly Chocolat,2006,1,3,0.99,89,17.99,G
110,Cabin Flash,2006,1,4,0.99,53,25.99,NC-17
111,Caddyshack Jedi,2006,1,3,0.99,52,17.99,NC-17
112,Calendar Gunfight,2006,1,4,4.99,120,22.99,NC-17
113,California Birds,2006,1,4,4.99,75,19.99,NC-17
114,Camelot Vacation,2006,1,3,0.99,61,26.99,NC-17
115,Campus Remember,2006,1,5,2.99,167,27.99,R
116,Candidate Perdition,2006,1,4,2.99,70,10.99,R
117,Candles Grapes,2006,1,6,4.99,135,15.99,NC-17
118,Canyon Stock,2006,1,7,0.99,85,26.99,R
119,Caper Motions,2006,1,6,0.99,176,22.99,G
120,Caribbean Liberty,2006,1,3,4.99,92,16.99,NC-17
121,Carol Texas,2006,1,4,2.99,151,15.99,PG
122,Carrie Bunch,2006,1,7,0.99,114,11.99,PG
123,Casablanca Super,2006,1,6,4.99,85,22.99,G
124,Casper Dragonfly,2006,1,3,4.99,163,16.99,PG-13
125,Cassidy Wyoming,2006,1,5,2.99,61,19.99,NC-17
127,Cat Coneheads,2006,1,5,4.99,112,14.99,G
128,Catch Amistad,2006,1,7,0.99,183,10.99,G
129,Cause Date,2006,1,3,2.99,179,16.99,R
130,Celebrity Horn,2006,1,7,0.99,110,24.99,PG-13
131,Center Dinosaur,2006,1,5,4.99,152,12.99,PG
132,Chainsaw Uptown,2006,1,6,0.99,114,25.99,PG
134,Champion Flatliners,2006,1,4,4.99,51,21.99,PG
135,Chance Resurrection,2006,1,3,2.99,70,22.99,R
154,Clash Freddy,2006,1,6,2.99,81,12.99,G
136,Chaplin License,2006,1,7,2.99,146,26.99,NC-17
137,Charade Duffel,2006,1,3,2.99,66,21.99,PG
138,Chariots Conspiracy,2006,1,5,2.99,71,29.99,R
139,Chasing Fight,2006,1,7,4.99,114,21.99,PG
140,Cheaper Clyde,2006,1,6,0.99,87,23.99,G
141,Chicago North,2006,1,6,4.99,185,11.99,PG-13
142,Chicken Hellfighters,2006,1,3,0.99,122,24.99,PG
143,Chill Luck,2006,1,6,0.99,142,17.99,PG
144,Chinatown Gladiator,2006,1,7,4.99,61,24.99,PG
145,Chisum Behavior,2006,1,5,4.99,124,25.99,G
146,Chitty Lock,2006,1,6,2.99,107,24.99,G
147,Chocolat Harry,2006,1,5,0.99,101,16.99,NC-17
148,Chocolate Duck,2006,1,3,2.99,132,13.99,R
149,Christmas Moonshine,2006,1,7,0.99,150,21.99,NC-17
150,Cider Desire,2006,1,7,2.99,101,9.99,PG
151,Cincinatti Whisperer,2006,1,5,4.99,143,26.99,NC-17
152,Circus Youth,2006,1,5,2.99,90,13.99,PG-13
153,Citizen Shrek,2006,1,7,0.99,165,18.99,G
155,Cleopatra Devil,2006,1,6,0.99,150,26.99,PG-13
156,Clerks Angels,2006,1,3,4.99,164,15.99,G
157,Clockwork Paradise,2006,1,7,0.99,143,29.99,PG-13
158,Clones Pinocchio,2006,1,6,2.99,124,16.99,R
159,Closer Bang,2006,1,5,4.99,58,12.99,R
160,Club Graffiti,2006,1,4,0.99,65,12.99,PG-13
161,Clue Grail,2006,1,6,4.99,70,27.99,NC-17
162,Clueless Bucket,2006,1,4,2.99,95,13.99,R
163,Clyde Theory,2006,1,4,0.99,139,29.99,PG-13
164,Coast Rainbow,2006,1,4,0.99,55,20.99,PG
184,Core Suit,2006,1,3,2.99,92,24.99,PG-13
165,Coldblooded Darling,2006,1,7,4.99,70,27.99,G
166,Color Philadelphia,2006,1,6,2.99,149,19.99,G
167,Coma Head,2006,1,6,4.99,109,10.99,NC-17
168,Comancheros Enemy,2006,1,5,0.99,67,23.99,R
169,Comforts Rush,2006,1,3,2.99,76,19.99,NC-17
170,Command Darling,2006,1,5,4.99,120,28.99,PG-13
171,Commandments Express,2006,1,6,4.99,59,13.99,R
172,Coneheads Smoochy,2006,1,7,4.99,112,12.99,NC-17
173,Confessions Maguire,2006,1,7,4.99,65,25.99,PG-13
174,Confidential Interview,2006,1,6,4.99,180,13.99,NC-17
175,Confused Candles,2006,1,3,2.99,122,27.99,PG-13
176,Congeniality Quest,2006,1,6,0.99,87,21.99,PG-13
177,Connecticut Tramp,2006,1,4,4.99,172,20.99,R
178,Connection Microcosmos,2006,1,6,0.99,115,25.99,G
179,Conquerer Nuts,2006,1,4,4.99,173,14.99,G
180,Conspiracy Spirit,2006,1,4,2.99,184,27.99,PG-13
181,Contact Anonymous,2006,1,7,2.99,166,10.99,PG-13
182,Control Anthem,2006,1,7,4.99,185,9.99,G
183,Conversation Downhill,2006,1,4,4.99,112,14.99,R
185,Cowboy Doom,2006,1,3,2.99,146,10.99,PG
186,Craft Outfield,2006,1,6,0.99,64,17.99,NC-17
187,Cranes Reservoir,2006,1,5,2.99,57,12.99,NC-17
188,Crazy Home,2006,1,7,2.99,136,24.99,PG
189,Creatures Shakespeare,2006,1,3,0.99,139,23.99,NC-17
190,Creepers Kane,2006,1,5,4.99,172,23.99,NC-17
191,Crooked Frogmen,2006,1,6,0.99,143,27.99,PG-13
192,Crossing Divorce,2006,1,4,4.99,50,19.99,R
193,Crossroads Casualties,2006,1,5,2.99,153,20.99,G
194,Crow Grease,2006,1,6,0.99,104,22.99,PG
195,Crowds Telemark,2006,1,3,4.99,112,16.99,R
196,Cruelty Unforgiven,2006,1,7,0.99,69,29.99,G
197,Crusade Honey,2006,1,4,2.99,112,27.99,R
198,Crystal Breaking,2006,1,6,2.99,184,22.99,NC-17
199,Cupboard Sinners,2006,1,4,2.99,56,29.99,R
200,Curtain Videotape,2006,1,7,0.99,133,27.99,PG-13
201,Cyclone Family,2006,1,7,2.99,176,18.99,PG
202,Daddy Pittsburgh,2006,1,5,4.99,161,26.99,G
203,Daisy Menagerie,2006,1,5,4.99,84,9.99,G
204,Dalmations Sweden,2006,1,4,0.99,106,25.99,PG
205,Dances None,2006,1,3,0.99,58,22.99,NC-17
206,Dancing Fever,2006,1,6,0.99,144,25.99,G
207,Dangerous Uptown,2006,1,7,4.99,121,26.99,PG
208,Dares Pluto,2006,1,7,2.99,89,16.99,PG-13
209,Darkness War,2006,1,6,2.99,99,24.99,NC-17
210,Darko Dorado,2006,1,3,4.99,130,13.99,NC-17
211,Darling Breaking,2006,1,7,4.99,165,20.99,PG-13
212,Darn Forrester,2006,1,7,4.99,185,14.99,G
214,Daughter Madigan,2006,1,3,4.99,59,13.99,PG-13
215,Dawn Pond,2006,1,4,4.99,57,27.99,PG
216,Day Unfaithful,2006,1,3,4.99,113,16.99,G
217,Dazed Punk,2006,1,6,4.99,120,20.99,G
218,Deceiver Betrayed,2006,1,7,0.99,122,22.99,NC-17
219,Deep Crusade,2006,1,6,4.99,51,20.99,PG-13
220,Deer Virginian,2006,1,7,2.99,106,13.99,NC-17
221,Deliverance Mulholland,2006,1,4,0.99,100,9.99,R
222,Desert Poseidon,2006,1,4,4.99,64,27.99,R
223,Desire Alien,2006,1,7,2.99,76,24.99,NC-17
224,Desperate Trainspotting,2006,1,7,4.99,81,29.99,G
225,Destination Jerk,2006,1,3,0.99,76,19.99,PG-13
226,Destiny Saturday,2006,1,4,4.99,56,20.99,G
227,Details Packer,2006,1,4,4.99,88,17.99,R
228,Detective Vision,2006,1,4,0.99,143,16.99,PG-13
229,Devil Desire,2006,1,6,4.99,87,12.99,R
230,Diary Panic,2006,1,7,2.99,107,20.99,G
231,Dinosaur Secretary,2006,1,7,2.99,63,27.99,R
232,Dirty Ace,2006,1,7,2.99,147,29.99,NC-17
233,Disciple Mother,2006,1,3,0.99,141,17.99,PG
234,Disturbing Scarface,2006,1,6,2.99,94,27.99,R
235,Divide Monster,2006,1,6,2.99,68,13.99,PG-13
236,Divine Resurrection,2006,1,4,2.99,100,19.99,R
237,Divorce Shining,2006,1,3,2.99,47,21.99,G
238,Doctor Grail,2006,1,4,2.99,57,29.99,G
239,Dogma Family,2006,1,5,4.99,122,16.99,G
240,Dolls Rage,2006,1,7,2.99,120,10.99,PG-13
241,Donnie Alley,2006,1,4,0.99,125,20.99,NC-17
242,Doom Dancing,2006,1,4,0.99,68,13.99,R
243,Doors President,2006,1,3,4.99,49,22.99,NC-17
244,Dorado Notting,2006,1,5,4.99,139,26.99,NC-17
245,Double Wrath,2006,1,4,0.99,177,28.99,R
246,Doubtfire Labyrinth,2006,1,5,4.99,154,16.99,R
247,Downhill Enough,2006,1,3,0.99,47,19.99,G
248,Dozen Lion,2006,1,6,4.99,177,20.99,NC-17
249,Dracula Crystal,2006,1,7,0.99,176,26.99,G
250,Dragon Squad,2006,1,4,0.99,170,26.99,NC-17
251,Dragonfly Strangers,2006,1,6,4.99,133,19.99,NC-17
252,Dream Pickup,2006,1,6,2.99,135,18.99,PG
253,Drifter Commandments,2006,1,5,4.99,61,18.99,PG-13
254,Driver Annie,2006,1,4,2.99,159,11.99,PG-13
255,Driving Polish,2006,1,6,4.99,175,21.99,NC-17
256,Drop Waterfront,2006,1,6,4.99,178,20.99,R
257,Drumline Cyclone,2006,1,3,0.99,110,14.99,G
258,Drums Dynamite,2006,1,6,0.99,96,11.99,PG
259,Duck Racer,2006,1,4,2.99,116,15.99,NC-17
260,Dude Blindness,2006,1,3,4.99,132,9.99,G
261,Duffel Apocalypse,2006,1,5,0.99,171,13.99,G
262,Dumbo Lust,2006,1,5,0.99,119,17.99,NC-17
263,Durham Panky,2006,1,6,4.99,154,14.99,R
264,Dwarfs Alter,2006,1,6,2.99,101,13.99,G
266,Dynamite Tarzan,2006,1,4,0.99,141,27.99,PG-13
267,Eagles Panky,2006,1,4,4.99,140,14.99,NC-17
268,Early Home,2006,1,6,4.99,96,27.99,NC-17
269,Earring Instinct,2006,1,3,0.99,98,22.99,R
270,Earth Vision,2006,1,7,0.99,85,29.99,NC-17
271,Easy Gladiator,2006,1,5,4.99,148,12.99,G
272,Edge Kissing,2006,1,5,4.99,153,9.99,NC-17
273,Effect Gladiator,2006,1,6,0.99,107,14.99,PG
274,Egg Igby,2006,1,4,2.99,67,20.99,PG
275,Egypt Tenenbaums,2006,1,3,0.99,85,11.99,PG
276,Element Freddy,2006,1,6,4.99,115,28.99,NC-17
277,Elephant Trojan,2006,1,4,4.99,126,24.99,PG-13
278,Elf Murder,2006,1,4,4.99,155,19.99,NC-17
279,Elizabeth Shane,2006,1,7,4.99,152,11.99,NC-17
280,Empire Malkovich,2006,1,7,0.99,177,26.99,G
281,Encino Elf,2006,1,6,0.99,143,9.99,G
282,Encounters Curtain,2006,1,5,0.99,92,20.99,NC-17
283,Ending Crowds,2006,1,6,0.99,85,10.99,NC-17
284,Enemy Odds,2006,1,5,4.99,77,23.99,NC-17
285,English Bulworth,2006,1,3,0.99,51,18.99,PG-13
286,Enough Raging,2006,1,7,2.99,158,16.99,NC-17
287,Entrapment Satisfaction,2006,1,5,0.99,176,19.99,R
288,Escape Metropolis,2006,1,7,2.99,167,20.99,R
289,Eve Resurrection,2006,1,5,4.99,66,25.99,G
290,Everyone Craft,2006,1,4,0.99,163,29.99,PG
291,Evolution Alter,2006,1,5,0.99,174,10.99,PG-13
292,Excitement Eve,2006,1,3,0.99,51,20.99,G
293,Exorcist Sting,2006,1,6,2.99,167,17.99,G
294,Expecations Natural,2006,1,5,4.99,138,26.99,PG-13
295,Expendable Stallion,2006,1,3,0.99,97,14.99,PG
296,Express Lonely,2006,1,5,2.99,178,23.99,R
297,Extraordinary Conquerer,2006,1,6,2.99,122,29.99,G
298,Eyes Driving,2006,1,4,2.99,172,13.99,PG-13
299,Factory Dragon,2006,1,4,0.99,144,9.99,PG-13
300,Falcon Volume,2006,1,5,4.99,102,21.99,PG-13
301,Family Sweet,2006,1,4,0.99,155,24.99,R
302,Fantasia Park,2006,1,5,2.99,131,29.99,G
303,Fantasy Troopers,2006,1,6,0.99,58,27.99,PG-13
304,Fargo Gandhi,2006,1,3,2.99,130,28.99,G
305,Fatal Haunted,2006,1,6,2.99,91,24.99,PG
306,Feathers Metal,2006,1,3,0.99,104,12.99,PG-13
307,Fellowship Autumn,2006,1,6,4.99,77,9.99,NC-17
308,Ferris Mother,2006,1,3,2.99,142,13.99,PG
309,Feud Frogmen,2006,1,6,0.99,98,29.99,R
310,Fever Empire,2006,1,5,4.99,158,20.99,R
311,Fiction Christmas,2006,1,4,0.99,72,14.99,PG
312,Fiddler Lost,2006,1,4,4.99,75,20.99,R
313,Fidelity Devil,2006,1,5,4.99,118,11.99,G
314,Fight Jawbreaker,2006,1,3,0.99,91,13.99,R
315,Finding Anaconda,2006,1,4,0.99,156,10.99,R
316,Fire Wolves,2006,1,5,4.99,173,18.99,R
317,Fireball Philadelphia,2006,1,4,0.99,148,25.99,PG
318,Firehouse Vietnam,2006,1,7,0.99,103,14.99,G
319,Fish Opus,2006,1,4,2.99,125,22.99,R
320,Flamingos Connecticut,2006,1,4,4.99,80,28.99,PG-13
321,Flash Wars,2006,1,3,4.99,123,21.99,NC-17
322,Flatliners Killer,2006,1,5,2.99,100,29.99,G
323,Flight Lies,2006,1,7,4.99,179,22.99,R
324,Flintstones Happiness,2006,1,3,4.99,148,11.99,PG-13
325,Floats Garden,2006,1,6,2.99,145,29.99,PG-13
326,Flying Hook,2006,1,6,2.99,69,18.99,NC-17
327,Fool Mockingbird,2006,1,3,4.99,158,24.99,PG
328,Forever Candidate,2006,1,7,2.99,131,28.99,NC-17
329,Forrest Sons,2006,1,4,2.99,63,15.99,R
330,Forrester Comancheros,2006,1,7,4.99,112,22.99,NC-17
331,Forward Temple,2006,1,6,2.99,90,25.99,NC-17
332,Frankenstein Stranger,2006,1,7,0.99,159,16.99,NC-17
333,Freaky Pocus,2006,1,7,2.99,126,16.99,R
334,Freddy Storm,2006,1,6,4.99,65,21.99,NC-17
335,Freedom Cleopatra,2006,1,5,0.99,133,23.99,PG-13
336,French Holiday,2006,1,5,4.99,99,22.99,PG
337,Frida Slipper,2006,1,6,2.99,73,11.99,R
338,Frisco Forrest,2006,1,6,4.99,51,23.99,PG
339,Frogmen Breaking,2006,1,5,0.99,111,17.99,R
340,Frontier Cabin,2006,1,6,4.99,183,14.99,PG-13
341,Frost Head,2006,1,5,0.99,82,13.99,PG
342,Fugitive Maguire,2006,1,7,4.99,83,28.99,R
343,Full Flatliners,2006,1,6,2.99,94,14.99,PG
344,Fury Murder,2006,1,3,0.99,178,28.99,PG-13
345,Gables Metropolis,2006,1,3,0.99,161,17.99,PG
346,Galaxy Sweethearts,2006,1,4,4.99,128,13.99,R
347,Games Bowfinger,2006,1,7,4.99,119,17.99,PG-13
348,Gandhi Kwai,2006,1,7,0.99,86,9.99,PG-13
349,Gangs Pride,2006,1,4,2.99,185,27.99,PG-13
350,Garden Island,2006,1,3,4.99,80,21.99,G
351,Gaslight Crusade,2006,1,4,2.99,106,10.99,PG
352,Gathering Calendar,2006,1,4,0.99,176,22.99,PG-13
353,Gentlemen Stage,2006,1,6,2.99,125,22.99,NC-17
354,Ghost Groundhog,2006,1,6,4.99,85,18.99,G
355,Ghostbusters Elf,2006,1,7,0.99,101,18.99,R
356,Giant Troopers,2006,1,5,2.99,102,10.99,R
357,Gilbert Pelican,2006,1,7,0.99,114,13.99,G
358,Gilmore Boiled,2006,1,5,0.99,163,29.99,R
359,Gladiator Westward,2006,1,6,4.99,173,20.99,PG
360,Glass Dying,2006,1,4,0.99,103,24.99,G
361,Gleaming Jawbreaker,2006,1,5,2.99,89,25.99,NC-17
362,Glory Tracy,2006,1,7,2.99,115,13.99,PG-13
363,Go Purple,2006,1,3,0.99,54,12.99,R
364,Godfather Diary,2006,1,3,2.99,73,14.99,NC-17
365,Gold River,2006,1,4,4.99,154,21.99,R
366,Goldfinger Sensibility,2006,1,3,0.99,93,29.99,G
367,Goldmine Tycoon,2006,1,6,0.99,153,20.99,R
368,Gone Trouble,2006,1,7,2.99,84,20.99,R
369,Goodfellas Salute,2006,1,4,4.99,56,22.99,PG
370,Gorgeous Bingo,2006,1,4,2.99,108,26.99,R
371,Gosford Donnie,2006,1,5,4.99,129,17.99,G
372,Graceland Dynamite,2006,1,5,4.99,140,26.99,R
373,Graduate Lord,2006,1,7,2.99,156,14.99,G
374,Graffiti Love,2006,1,3,0.99,117,29.99,PG
375,Grail Frankenstein,2006,1,4,2.99,85,17.99,NC-17
376,Grapes Fury,2006,1,4,0.99,155,20.99,G
377,Grease Youth,2006,1,7,0.99,135,20.99,G
378,Greatest North,2006,1,5,2.99,93,24.99,NC-17
379,Greedy Roots,2006,1,7,0.99,166,14.99,R
380,Greek Everyone,2006,1,7,2.99,176,11.99,PG
381,Grinch Massage,2006,1,7,4.99,150,25.99,R
382,Grit Clockwork,2006,1,3,0.99,137,21.99,PG
383,Groove Fiction,2006,1,6,0.99,111,13.99,NC-17
385,Groundhog Uncut,2006,1,6,4.99,139,26.99,PG-13
386,Gump Date,2006,1,3,4.99,53,12.99,NC-17
387,Gun Bonnie,2006,1,7,0.99,100,27.99,G
388,Gunfight Moon,2006,1,5,0.99,70,16.99,NC-17
389,Gunfighter Mussolini,2006,1,3,2.99,127,9.99,PG-13
390,Guys Falcon,2006,1,4,4.99,84,20.99,R
391,Half Outfield,2006,1,6,2.99,146,25.99,PG-13
392,Hall Cassidy,2006,1,5,4.99,51,13.99,NC-17
393,Halloween Nuts,2006,1,6,2.99,47,19.99,PG-13
394,Hamlet Wisdom,2006,1,7,2.99,146,21.99,R
449,Identity Lover,2006,1,4,2.99,119,12.99,PG-13
395,Handicap Boondock,2006,1,4,0.99,108,28.99,R
396,Hanging Deep,2006,1,5,4.99,62,18.99,G
397,Hanky October,2006,1,5,2.99,107,26.99,NC-17
398,Hanover Galaxy,2006,1,5,4.99,47,21.99,NC-17
399,Happiness United,2006,1,6,2.99,100,23.99,G
400,Hardly Robbers,2006,1,7,2.99,72,15.99,R
401,Harold French,2006,1,6,0.99,168,10.99,NC-17
402,Harper Dying,2006,1,3,0.99,52,15.99,G
403,Harry Idaho,2006,1,5,4.99,121,18.99,PG-13
404,Hate Handicap,2006,1,4,0.99,107,26.99,PG
405,Haunted Antitrust,2006,1,6,4.99,76,13.99,NC-17
406,Haunting Pianist,2006,1,5,0.99,181,22.99,R
407,Hawk Chill,2006,1,5,0.99,47,12.99,PG-13
408,Head Stranger,2006,1,4,4.99,69,28.99,R
409,Heartbreakers Bright,2006,1,3,4.99,59,9.99,G
410,Heaven Freedom,2006,1,7,2.99,48,19.99,PG
411,Heavenly Gun,2006,1,5,4.99,49,13.99,NC-17
412,Heavyweights Beast,2006,1,6,4.99,102,25.99,G
413,Hedwig Alter,2006,1,7,2.99,169,16.99,NC-17
414,Hellfighters Sierra,2006,1,3,2.99,75,23.99,PG
415,High Encino,2006,1,3,2.99,84,23.99,R
416,Highball Potter,2006,1,6,0.99,110,10.99,R
417,Hills Neighbors,2006,1,5,0.99,93,29.99,G
418,Hobbit Alien,2006,1,5,0.99,157,27.99,PG-13
419,Hocus Frida,2006,1,4,2.99,141,19.99,G
420,Holes Brannigan,2006,1,7,4.99,128,27.99,PG
421,Holiday Games,2006,1,7,4.99,78,10.99,PG-13
422,Hollow Jeopardy,2006,1,7,4.99,136,25.99,NC-17
423,Hollywood Anonymous,2006,1,7,0.99,69,29.99,PG
424,Holocaust Highball,2006,1,6,0.99,149,12.99,R
425,Holy Tadpole,2006,1,6,0.99,88,20.99,R
426,Home Pity,2006,1,7,4.99,185,15.99,R
427,Homeward Cider,2006,1,5,0.99,103,19.99,R
428,Homicide Peach,2006,1,6,2.99,141,21.99,PG-13
429,Honey Ties,2006,1,3,0.99,84,29.99,R
430,Hook Chariots,2006,1,7,0.99,49,23.99,G
450,Idols Snatchers,2006,1,5,2.99,84,29.99,NC-17
431,Hoosiers Birdcage,2006,1,3,2.99,176,12.99,G
432,Hope Tootsie,2006,1,4,2.99,139,22.99,NC-17
433,Horn Working,2006,1,4,2.99,95,23.99,PG
434,Horror Reign,2006,1,3,0.99,139,25.99,R
435,Hotel Happiness,2006,1,6,4.99,181,28.99,PG-13
436,Hours Rage,2006,1,4,0.99,122,14.99,NC-17
437,House Dynamite,2006,1,7,2.99,109,13.99,R
438,Human Graffiti,2006,1,3,2.99,68,22.99,NC-17
439,Hunchback Impossible,2006,1,4,4.99,151,28.99,PG-13
440,Hunger Roof,2006,1,6,0.99,105,21.99,G
441,Hunter Alter,2006,1,5,2.99,125,21.99,PG-13
442,Hunting Musketeers,2006,1,6,2.99,65,24.99,NC-17
443,Hurricane Affair,2006,1,6,2.99,49,11.99,PG
444,Hustler Party,2006,1,3,4.99,83,22.99,NC-17
445,Hyde Doctor,2006,1,5,2.99,100,11.99,G
446,Hysterical Grail,2006,1,5,4.99,150,19.99,PG
