city_city,frequency,percentage
Sorocaba,1,0.17
Santiago de los Caballeros,1,0.17
Liaocheng,1,0.17
Ktahya,1,0.17
Hohhot,1,0.17
Fuyu,1,0.17
Paarl,1,0.17
Zeleznogorsk,1,0.17
Aden,1,0.17
Vaduz,1,0.17
Donostia-San Sebastin,1,0.17
Shimoga,1,0.17
Emeishan,1,0.17
Tarsus,1,0.17
Zalantun,1,0.17
Aparecida de Goinia,1,0.17
Rio Claro,1,0.17
Mandi Bahauddin,1,0.17
Plock,1,0.17
Zhoushan,1,0.17
Santa F,1,0.17
Stockport,1,0.17
Denizli,1,0.17
Cavite,1,0.17
Konotop,1,0.17
Po,1,0.17
Batman,1,0.17
Szkesfehrvr,1,0.17
Bhopal,1,0.17
Siegen,1,0.17
Alessandria,1,0.17
So Leopoldo,1,0.17
Adana,1,0.17
Wroclaw,1,0.17
Hagonoy,1,0.17
Kragujevac,1,0.17
Guadalajara,1,0.17
Valle de la Pascua,1,0.17
El Fuerte,1,0.17
Iligan,1,0.17
Avellaneda,1,0.17
Novi Sad,1,0.17
Gandhinagar,1,0.17
Cam Ranh,1,0.17
Yaound,1,0.17
Naju,1,0.17
Malm,1,0.17
Kamjanets-Podilskyi,1,0.17
Valparai,1,0.17
Tallahassee,1,0.17
Richmond Hill,1,0.17
Mit Ghamr,1,0.17
Garland,1,0.17
Clarksville,1,0.17
Nanyang,1,0.17
Kimchon,1,0.17
Stara Zagora,1,0.17
Urawa,1,0.17
al-Manama,1,0.17
Teboksary,1,0.17
Pjatigorsk,1,0.17
Nabereznyje Telny,1,0.17
Pune,1,0.17
Matsue,1,0.17
Funafuti,1,0.17
Southend-on-Sea,1,0.17
Trshavn,1,0.17
San Juan Bautista Tuxtepec,1,0.17
Balurghat,1,0.17
Naala-Porto,1,0.17
Fontana,1,0.17
Tsuyama,1,0.17
Olomouc,1,0.17
Jelets,1,0.17
Vancouver,1,0.17
Datong,1,0.17
Atinsk,1,0.17
Mosul,1,0.17
Rancagua,1,0.17
Shivapuri,1,0.17
Siliguri (Shiliguri),1,0.17
Saarbrcken,1,0.17
Nantou,1,0.17
Tandil,1,0.17
Jodhpur,1,0.17
Laredo,1,0.17
Jaipur,1,0.17
Santa Rosa,1,0.17
Botosani,1,0.17
Haining,1,0.17
Amersfoort,1,0.17
Dhule (Dhulia),1,0.17
Memphis,1,0.17
Saint Louis,1,0.17
Dallas,1,0.17
Witten,1,0.17
Kurgan,1,0.17
Livorno,1,0.17
Kursk,1,0.17
Uluberia,1,0.17
Vijayawada,1,0.17
Lethbridge,1,0.17
Tongliao,1,0.17
Kuching,1,0.17
Newcastle,1,0.17
Uruapan,1,0.17
Santo Andr,1,0.17
Simferopol,1,0.17
Cianjur,1,0.17
Iwakuni,1,0.17
Cuautla,1,0.17
Rustenburg,1,0.17
Patras,1,0.17
Izumisano,1,0.17
Barcelona,1,0.17
Xinxiang,1,0.17
Suihua,1,0.17
Nakhon Sawan,1,0.17
Jakarta,1,0.17
Sullana,1,0.17
Ranchi,1,0.17
Monywa,1,0.17
Santiago de Compostela,1,0.17
Shikarpur,1,0.17
Klerksdorp,1,0.17
Shimonoseki,1,0.17
Varanasi (Benares),1,0.17
Zanzibar,1,0.17
Sumqayit,1,0.17
Sumy,1,0.17
Gaziantep,1,0.17
Ashqelon,1,0.17
Halifax,1,0.17
Graz,1,0.17
Pudukkottai,1,0.17
Nam Dinh,1,0.17
Bat Yam,1,0.17
Valencia,1,0.17
Brindisi,1,0.17
Zaria,1,0.17
Lausanne,1,0.17
Sanya,1,0.17
Coatzacoalcos,1,0.17
Probolinggo,1,0.17
Elista,1,0.17
Kabul,1,0.17
Dos Quebradas,1,0.17
Tanshui,1,0.17
Vilnius,1,0.17
Hino,1,0.17
Juazeiro do Norte,1,0.17
Duisburg,1,0.17
Effon-Alaiye,1,0.17
Dzerzinsk,1,0.17
Sirjan,1,0.17
Okinawa,1,0.17
Maring,1,0.17
Xiangfan,1,0.17
Linz,1,0.17
Guaruj,1,0.17
Sokoto,1,0.17
Hubli-Dharwad,1,0.17
Kisumu,1,0.17
Ikerre,1,0.17
Rockford,1,0.17
Akishima,1,0.17
Qinhuangdao,1,0.17
Palghat (Palakkad),1,0.17
Vinh,1,0.17
Addis Abeba,1,0.17
Miraj,1,0.17
Mahajanga,1,0.17
Rajkot,1,0.17
Yuzhou,1,0.17
Mysore,1,0.17
Kirovo-Tepetsk,1,0.17
Emmen,1,0.17
Kaliningrad,1,0.17
Bergamo,1,0.17
Tambaram,1,0.17
Mannheim,1,0.17
Masqat,1,0.17
Erlangen,1,0.17
Torren,1,0.17
Balaiha,1,0.17
Callao,1,0.17
Kolpino,1,0.17
Basel,1,0.17
Nukualofa,1,0.17
Escobar,1,0.17
Tanauan,1,0.17
Salala,1,0.17
Higashiosaka,1,0.17
Ciparay,1,0.17
Syktyvkar,1,0.17
ostka,1,0.17
Kakamigahara,1,0.17
Patiala,1,0.17
Sivas,1,0.17
Pangkal Pinang,1,0.17
La Romana,1,0.17
Hami,1,0.17
Firozabad,1,0.17
Ziguinchor,1,0.17
Brest,1,0.17
Yerevan,1,0.17
San Miguel de Tucumn,1,0.17
Okayama,1,0.17
Nyeri,1,0.17
Buenaventura,1,0.17
Lapu-Lapu,1,0.17
Fukuyama,1,0.17
Matamoros,1,0.17
Tanza,1,0.17
Hidalgo,1,0.17
Birgunj,1,0.17
Mwene-Ditu,1,0.17
Coacalco de Berriozbal,1,0.17
Parbhani,1,0.17
Mexicali,1,0.17
Jedda,1,0.17
Blumenau,1,0.17
al-Qatif,1,0.17
Baha Blanca,1,0.17
Myingyan,1,0.17
Loja,1,0.17
Purwakarta,1,0.17
Bag,1,0.17
Tabriz,1,0.17
Faaa,1,0.17
Liepaja,1,0.17
Yuncheng,1,0.17
Soshanguve,1,0.17
Tianjin,1,0.17
Coquimbo,1,0.17
Lancaster,1,0.17
Kimberley,1,0.17
Rizhao,1,0.17
Kumbakonam,1,0.17
Kuwana,1,0.17
Arak,1,0.17
Talavera,1,0.17
Novoterkassk,1,0.17
Dundee,1,0.17
Ruse,1,0.17
Kansas City,1,0.17
Southampton,1,0.17
Nagareyama,1,0.17
Ashgabat,1,0.17
Le Mans,1,0.17
Niznekamsk,1,0.17
Lima,1,0.17
Kalisz,1,0.17
Bhimavaram,1,0.17
Pavlodar,1,0.17
Lipetsk,1,0.17
Baybay,1,0.17
Jaroslavl,1,0.17
Hsichuh,1,0.17
La Plata,1,0.17
Xiangtan,1,0.17
Laohekou,1,0.17
Shubra al-Khayma,1,0.17
Joliet,1,0.17
Onomichi,1,0.17
Ife,1,0.17
Charlotte Amalie,1,0.17
Nagaon,1,0.17
Kingstown,1,0.17
Munger (Monghyr),1,0.17
Phnom Penh,1,0.17
El Alto,1,0.17
Ciomas,1,0.17
Yangor,1,0.17
Pachuca de Soto,1,0.17
Nuuk,1,0.17
Esfahan,1,0.17
Sterling Heights,1,0.17
Beni-Mellal,1,0.17
Hoshiarpur,1,0.17
Bellevue,1,0.17
Huaian,1,0.17
Imus,1,0.17
Warren,1,0.17
Pingxiang,1,0.17
Greensboro,1,0.17
Ocumare del Tuy,1,0.17
Southport,1,0.17
Pemalang,1,0.17
