customer_first_name,frequency,percentage
Shannon,1,0.17
Deanna,1,0.17
Evelyn,1,0.17
Ricky,1,0.17
Ernest,1,0.17
Ann,1,0.17
Ashley,1,0.17
June,1,0.17
Bob,1,0.17
Claude,1,0.17
Clifton,1,0.17
Mattie,1,0.17
Jessica,1,0.17
Johnny,1,0.17
Calvin,1,0.17
Everett,1,0.17
Leo,1,0.17
Allen,1,0.17
Angel,1,0.17
Gina,1,0.17
Kristen,1,0.17
Lester,1,0.17
Alan,1,0.17
Philip,1,0.17
Gladys,1,0.17
Tamara,1,0.17
Tracey,1,0.17
Shawn,1,0.17
Nelson,1,0.17
Barbara,1,0.17
Jeanette,1,0.17
George,1,0.17
Florence,1,0.17
Rodney,1,0.17
Dolores,1,0.17
Kirk,1,0.17
Glenn,1,0.17
Dennis,1,0.17
Jason,1,0.17
Brandy,1,0.17
Alvin,1,0.17
Alexander,1,0.17
Larry,1,0.17
Sonia,1,0.17
Erik,1,0.17
Miguel,1,0.17
Misty,1,0.17
Rosa,1,0.17
Jeffrey,1,0.17
Joann,1,0.17
Sheila,1,0.17
Jimmy,1,0.17
Viola,1,0.17
Julie,1,0.17
Dwayne,1,0.17
Adam,1,0.17
Tommy,1,0.17
Tonya,1,0.17
Hazel,1,0.17
Darrell,1,0.17
Matthew,1,0.17
Arthur,1,0.17
Russell,1,0.17
Vera,1,0.17
Juanita,1,0.17
Sergio,1,0.17
Olga,1,0.17
Dawn,1,0.17
Leroy,1,0.17
Erika,1,0.17
Austin,1,0.17
Lorraine,1,0.17
Rachel,1,0.17
Karl,1,0.17
Tim,1,0.17
Donald,1,0.17
Virgil,1,0.17
Audrey,1,0.17
Seth,1,0.17
Deborah,1,0.17
Ida,1,0.17
Ted,1,0.17
Ronnie,1,0.17
Cory,1,0.17
Kevin,1,0.17
Cecil,1,0.17
Melinda,1,0.17
Enrique,1,0.17
Julio,1,0.17
Floyd,1,0.17
Tanya,1,0.17
Natalie,1,0.17
Marvin,1,0.17
Eric,1,0.17
Herman,1,0.17
Michelle,1,0.17
Armando,1,0.17
Erica,1,0.17
Martha,1,0.17
Heather,1,0.17
Erin,1,0.17
Clarence,1,0.17
Allison,1,0.17
Jacqueline,1,0.17
Joanne,1,0.17
Mae,1,0.17
Wade,1,0.17
Sidney,1,0.17
Lance,1,0.17
Cathy,1,0.17
Clinton,1,0.17
Sam,1,0.17
Roy,1,0.17
Georgia,1,0.17
Mildred,1,0.17
Tara,1,0.17
Ellen,1,0.17
Alex,1,0.17
Rafael,1,0.17
Leah,1,0.17
Marilyn,1,0.17
Bernard,1,0.17
Peter,1,0.17
Wilma,1,0.17
Rhonda,1,0.17
Edwin,1,0.17
Bertha,1,0.17
Juan,1,0.17
Vivian,1,0.17
Theresa,1,0.17
Janice,1,0.17
Marian,1,0.17
Darlene,1,0.17
Felicia,1,0.17
Joy,1,0.17
Casey,1,0.17
Joe,1,0.17
Frank,1,0.17
Ruth,1,0.17
Jennifer,1,0.17
Micheal,1,0.17
Stephen,1,0.17
Carrie,1,0.17
Hilda,1,0.17
Dana,1,0.17
Todd,1,0.17
Tyler,1,0.17
Carol,1,0.17
Sylvia,1,0.17
Jared,1,0.17
Dora,1,0.17
Jo,1,0.17
Myrtle,1,0.17
Daryl,1,0.17
Chad,1,0.17
Margie,1,0.17
Marc,1,0.17
Harvey,1,0.17
Charlie,1,0.17
Ryan,1,0.17
Marshall,1,0.17
Jackie,1,0.17
Lawrence,1,0.17
Kristina,1,0.17
Brent,1,0.17
Corey,1,0.17
Priscilla,1,0.17
Dave,1,0.17
Theodore,1,0.17
Stella,1,0.17
Gordon,1,0.17
Barry,1,0.17
Norma,1,0.17
Raymond,1,0.17
Glen,1,0.17
Marie,1,0.17
Steven,1,0.17
Joyce,1,0.17
Julian,1,0.17
Neil,1,0.17
Ken,1,0.17
Eva,1,0.17
Ralph,1,0.17
Sarah,1,0.17
Bradley,1,0.17
Virginia,1,0.17
Albert,1,0.17
Ricardo,1,0.17
Emily,1,0.17
Becky,1,0.17
Arnold,1,0.17
Harry,1,0.17
Terrence,1,0.17
Javier,1,0.17
Regina,1,0.17
Alberto,1,0.17
Veronica,1,0.17
Anita,1,0.17
Katherine,1,0.17
Derek,1,0.17
Lucy,1,0.17
Christian,1,0.17
Nicholas,1,0.17
Salvador,1,0.17
Jerry,1,0.17
Dorothy,1,0.17
Michele,1,0.17
Jeanne,1,0.17
Raul,1,0.17
Penny,1,0.17
Max,1,0.17
Carl,1,0.17
Christy,1,0.17
Anne,1,0.17
Lori,1,0.17
Mary,1,0.17
Margaret,1,0.17
Jonathan,1,0.17
Beatrice,1,0.17
Pedro,1,0.17
Lee,1,0.17
Aaron,1,0.17
Marjorie,1,0.17
Ruby,1,0.17
Tiffany,1,0.17
Jim,1,0.17
Stanley,1,0.17
Maureen,1,0.17
Colleen,1,0.17
Carole,1,0.17
Lonnie,1,0.17
Roger,1,0.17
Catherine,1,0.17
Elmer,1,0.17
Stacey,1,0.17
Gail,1,0.17
Guy,1,0.17
Daisy,1,0.17
Kristin,1,0.17
Francis,1,0.17
Wallace,1,0.17
Cassandra,1,0.17
Pearl,1,0.17
Travis,1,0.17
Christine,1,0.17
Helen,1,0.17
Phillip,1,0.17
Megan,1,0.17
Cynthia,1,0.17
Jimmie,1,0.17
Paula,1,0.17
Lewis,1,0.17
Bill,1,0.17
Nina,1,0.17
Ramona,1,0.17
Courtney,1,0.17
April,1,0.17
Derrick,1,0.17
Brandon,1,0.17
Mitchell,1,0.17
Gabriel,1,0.17
Wesley,1,0.17
Irene,1,0.17
Nathan,1,0.17
Marcia,1,0.17
Martin,1,0.17
Antonio,1,0.17
Chris,1,0.17
Joseph,1,0.17
Marcus,1,0.17
Nicole,1,0.17
Fred,1,0.17
Toni,1,0.17
Joan,1,0.17
Brenda,1,0.17
Shane,1,0.17
Edna,1,0.17
Mark,1,0.17
Manuel,1,0.17
Alice,1,0.17
Linda,1,0.17
Anthony,1,0.17
Caroline,1,0.17
Kathleen,1,0.17
Joel,1,0.17
Laura,1,0.17
Mabel,1,0.17
Fernando,1,0.17
Jon,1,0.17
Hector,1,0.17
Zachary,1,0.17
Rebecca,1,0.17
Pamela,1,0.17
Vickie,1,0.17
Samantha,1,0.17
Clara,1,0.17
Elaine,1,0.17
Scott,1,0.17
John,1,0.17
Holly,1,0.17
Troy,1,0.17
Patricia,1,0.17
Dwight,1,0.17
Alfred,1,0.17
Debbie,1,0.17
Allan,1,0.17
Cody,1,0.17
Clayton,1,0.17
Clyde,1,0.17
Jerome,1,0.17
Delores,1,0.17
Vicki,1,0.17
Randall,1,0.17
Alma,1,0.17
Julia,1,0.17
Yvonne,1,0.17
Yolanda,1,0.17
Lucille,1,0.17
Annie,1,0.17
Emma,1,0.17
Charlotte,1,0.17
Judith,1,0.17
Kay,1,0.17
Teresa,1,0.17
Sean,1,0.17
Lena,1,0.17
Greg,1,0.17
Brian,1,0.17
Charlene,1,0.17
Frances,1,0.17
Violet,1,0.17
Josephine,1,0.17
Angela,1,0.17
Warren,1,0.17
Danny,1,0.17
Luis,1,0.17
Amber,1,0.17
Johnnie,1,0.17
Edward,1,0.17
Cindy,1,0.17
Amy,1,0.17
Earl,1,0.17
Rene,1,0.17
